new	old	variable	prot	val
HVO_RS19685	HVO_RS19685	de04	hypothetical protein	1.72227211184159
HVO_RS19685	HVO_RS19685	de08	hypothetical protein	1.63382537493431
HVO_RS01325	HVO_B0272	de04	PAS sensor protein	1.90840961371581
HVO_RS01325	HVO_B0272	de08	PAS sensor protein	2.05452224235157
HVO_RS00710	HVO_B0146	de04	aminotransferase class V	1.78430741447809
HVO_RS00710	HVO_B0146	de08	aminotransferase class V	1.42295718594713
HVO_RS00710	HVO_B0146	de24	aminotransferase class V	1.62354123323767
HVO_RS00705	HVO_B0145	de24	creatininase	1.78582730953555
HVO_RS00640	HVO_B0132	de02	PQQ repeat protein	-2.09694188716662
HVO_RS00640	HVO_B0132	de04	PQQ repeat protein	-1.88731306151455
HVO_RS00640	HVO_B0132	de08	PQQ repeat protein	-1.86027821895559
HVO_RS00635	HVO_B0131	de02	hypothetical protein	1.64305088649568
HVO_RS00635	HVO_B0131	de08	hypothetical protein	1.42310200645132
HVO_RS00630	HVO_B0130	de00	hypothetical protein	-0.869645336599432
HVO_RS00630	HVO_B0130	de04	hypothetical protein	0.574431156219814
HVO_RS00630	HVO_B0130	de08	hypothetical protein	0.489221698378052
HVO_RS00615	HVO_B0127	de04	LLM class flavin-dependent oxidoreductase	1.24337073352946
HVO_RS00615	HVO_B0127	de08	LLM class flavin-dependent oxidoreductase	1.48383696739028
HVO_RS00615	HVO_B0127	de24	LLM class flavin-dependent oxidoreductase	1.83167740462136
HVO_RS00575	HVO_B0119	de02	ArcR family transcriptional regulator	-1.63623126447359
HVO_RS00575	HVO_B0119	de08	ArcR family transcriptional regulator	-1.45682931990612
HVO_RS00570	HVO_B0118	de02	SMC-like protein Sph2	1.60068155052822
HVO_RS00570	HVO_B0118	de04	SMC-like protein Sph2	1.32478230618895
HVO_RS00570	HVO_B0118	de08	SMC-like protein Sph2	1.39009963719369
HVO_RS00570	HVO_B0118	de24	SMC-like protein Sph2	1.6082547962456
HVO_RS00555	HVO_B0115	de04	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase	1.42109529092252
HVO_RS00545	HVO_B0113	de04	LLM class F420-dependent oxidoreductase	2.17306387909038
