new	old	variable	prot	val01
HVO_RS19670	HVO_RS19670	de04	hypothetical protein	-6.64596101672002
HVO_RS01325	HVO_B0272	de02	PAS sensor protein	2.28482365962598
HVO_RS19695	HVO_RS19695	de00	molecular chaperone GroEL	6.63997354435013
HVO_RS19695	HVO_RS19695	de02	molecular chaperone GroEL	6.61743872333636
HVO_RS19695	HVO_RS19695	de04	molecular chaperone GroEL	6.77043734309263
HVO_RS19695	HVO_RS19695	de24	molecular chaperone GroEL	7.44393498178731
HVO_RS00730	HVO_B0151	de04	nickel-responsive transcriptional regulator NikR	-1.65074615725403
HVO_RS00730	HVO_B0151	de08	nickel-responsive transcriptional regulator NikR	-2.3414692585435
HVO_RS00730	HVO_B0151	de24	nickel-responsive transcriptional regulator NikR	-2.92060209732453
HVO_RS00720	HVO_B0149	de02	oleate hydratase	-1.97575470196168
HVO_RS00720	HVO_B0149	de04	oleate hydratase	-2.04186352129462
HVO_RS00720	HVO_B0149	de08	oleate hydratase	-2.19421362249799
HVO_RS00720	HVO_B0149	de24	oleate hydratase	-2.1275795400965
HVO_RS00705	HVO_B0145	de02	creatininase	2.86498937426914
HVO_RS00705	HVO_B0145	de04	creatininase	3.04590181259911
HVO_RS00705	HVO_B0145	de08	creatininase	2.3539222709424
HVO_RS00700	HVO_B0144	de02	iron ABC transporter substrate-binding protein	2.66233539194888
HVO_RS00700	HVO_B0144	de04	iron ABC transporter substrate-binding protein	4.20477280259074
HVO_RS00700	HVO_B0144	de08	iron ABC transporter substrate-binding protein	4.53969821529045
HVO_RS00700	HVO_B0144	de24	iron ABC transporter substrate-binding protein	4.53301316701843
HVO_RS00635	HVO_B0131	de04	hypothetical protein	2.08270646538643
HVO_RS00630	HVO_B0130	de24	hypothetical protein	0.917782244584924
HVO_RS00625	HVO_B0129	de04	hypothetical protein	5.78490728574635
HVO_RS00625	HVO_B0129	de08	hypothetical protein	5.12018856765161
HVO_RS00625	HVO_B0129	de24	hypothetical protein	5.25998028808559
HVO_RS00620	HVO_B0128	de02	glucose 1-dehydrogenase related protein	-4.25530212353832
HVO_RS00575	HVO_B0119	de04	ArcR family transcriptional regulator	-2.5078203345256
HVO_RS00575	HVO_B0119	de24	ArcR family transcriptional regulator	-3.16646685436684
HVO_RS00515	HVO_B0106	de02	sugar ABC transporter substrate-binding protein	2.09520660063661
HVO_RS00505	HVO_B0104	de04	hypothetical protein	1.74861694426434
HVO_RS00505	HVO_B0104	de08	hypothetical protein	1.55544867394413
HVO_RS00505	HVO_B0104	de24	hypothetical protein	1.52292450924601
HVO_RS00460	HVO_B0095	de04	UspA domain protein	1.64128732729794
HVO_RS00460	HVO_B0095	de08	UspA domain protein	1.65267899573684
HVO_RS00460	HVO_B0095	de24	UspA domain protein	1.70020827996887
HVO_RS00455	HVO_B0094	de04	hypothetical protein	1.70577963120868
