	shaking_mean	t00_mean	theta	prob	log2FC	length
HVO_RS00705	107.587412562894	205.062470004438	-0.190181500425324	0.0600133186662761	-0.930554181374139	695
HVO_RS00635	171.33139690373	141.046368416259	0.0535567124880101	0.215903506283997	0.280620032406664	863
HVO_RS00570	21.7643310300257	288.616260946714	-0.560444334407146	0.873769850391604	-3.72911500326977	1949
HVO_RS00350	86.2353580437744	336.995776112253	-0.328855950474577	0.509582910552549	-1.96637908227834	530
HVO_RS00090	42.3145751025399	720.848170439414	-0.661140281765818	0.914108845543901	-4.0904688368335	653
HVO_RS01720	63.1835531515759	1054.85257540919	-0.691517503547738	0.919642021009408	-4.06134850405162	524
HVO_RS01710	5.57714021120149	135.771470407283	-0.665528296662446	0.915017561085508	-4.60551100712136	2303
HVO_RS01330	9.77601929837285	271.401725929843	-0.703287861511888	0.921356363314026	-4.79503895200217	1706
HVO_RS00950	4001.76237523775	3653.67937277325	0.0474576347687149	0.20565924897259	0.13128546614278	371
HVO_RS00945	250.860608324943	1888.56640532727	-0.610362736255674	0.899806494191273	-2.91233365957428	311
HVO_RS00895	165.598035927205	142.621806584951	0.0346149836708841	0.183623525054899	0.215490978085181	974
HVO_RS00770	131.374467971977	1090.72724389442	-0.566150650008003	0.877528081212807	-3.05353354791318	548
HVO_RS00755	2020.07803466257	2088.14853238566	-0.0245265819077641	0.080618657099823	-0.047813311417584	413
HVO_RS19935	NA	NA	NA	NA	NA	245
HVO_RS03435	NA	NA	NA	NA	NA	434
HVO_RS04090	240.206413550769	624.269970026844	-0.275641137457082	0.312275820301051	-1.37789539609932	872
HVO_RS04280	121.961445714093	901.833946177773	-0.545425728837305	0.863003717101061	-2.88643665880646	599
HVO_RS04545	26.3996931130562	484.407458875836	-0.650479801381736	0.911726444313699	-4.19762801574899	611
HVO_RS04675	713.54512613615	2016.95843252659	-0.402448948752388	0.706339977226178	-1.4991047749198	368
HVO_RS02480	84.6631432137715	629.620793785379	-0.488133030566427	0.812871279866618	-2.89467723148769	611
HVO_RS02940	260.663797123839	1086.02807552024	-0.478225183410203	0.802860262184808	-2.05879926957966	527
HVO_RS03305	19.2790440852958	924.52865014225	-0.906169614155453	0.949998766007992	-5.58361260271372	581
HVO_RS01920	NA	NA	NA	NA	NA	449
HVO_RS02130	23.6495384625551	622.518289726128	-0.738579919578372	0.925163708923178	-4.71823229076586	821
HVO_RS19745	104.506535586713	904.721173575467	-0.547790050476824	0.864777228932555	-3.11388006806802	626
HVO_RS02045	737.100089268186	2431.34117167729	-0.482395239579664	0.807125270235984	-1.72181991177642	302
HVO_RS02040	877.342791509069	1918.13178483217	-0.352194477783098	0.587430899612372	-1.12848930243429	425
HVO_RS01975	NA	NA	NA	NA	NA	683
HVO_RS01970	2739.29834445602	2425.13022966881	0.103799885179089	0.292487855578381	0.175744180245299	167
HVO_RS01960	686.955517248736	1869.98136900913	-0.379918701971669	0.661709222654709	-1.44473530865597	395
HVO_RS01955	30.6917284112849	758.484222951196	-0.740079339082222	0.925275914291974	-4.62719737274388	704
HVO_RS03500	2290.09823514888	569.767544223859	0.553028125207824	0.534684068742266	2.00696413632082	296
HVO_RS02535	45.6562958053504	452.44570793409	-0.517664072163503	0.840331129482779	-3.30885896326729	1169
HVO_RS03835	96.5019419714415	519.954866565415	-0.420070211686806	0.733764200804354	-2.42975651892962	1166
HVO_RS03085	2143.91133531274	963.356222274973	0.402552411880867	0.485224035775353	1.1541039719559	317
HVO_RS03550	170.212303589136	61.2078239305063	0.283690649072408	0.432146220853377	1.47554734098355	1019
HVO_RS02965	636.200981351605	1948.88066707514	-0.434604757513878	0.753229110470949	-1.61509125251533	374
HVO_RS19945	42.5534543688985	618.350828820857	-0.615254608265057	0.901587184382254	-3.86107744522322	881
HVO_RS02380	377.855442946645	615.615187960366	-0.144913020651653	0.00849513914515143	-0.704194420379118	1166
HVO_RS03005	42.4858274269533	460.295741394371	-0.540952027696207	0.859574294567124	-3.43750752768251	1166
HVO_RS20080	NA	NA	NA	NA	NA	194
HVO_RS02165	73.1179334430458	219.263057405927	-0.276710286921744	0.316204625207641	-1.58436555892619	1499
HVO_RS03490	52.8193449919858	456.181318968781	-0.490633338346715	0.815331873263231	-3.11046905221784	1166
HVO_RS02455	16572.79614281	19302.6582410961	-0.0792473481602934	0.0125156325725843	-0.21998250717468	878
HVO_RS03695	139.085825107475	418.907814952076	-0.279606901384652	0.326886371784623	-1.59065740319754	683
HVO_RS19720	505.100296444098	2928.62494141774	-0.594446116477466	0.893151941736338	-2.53558165062152	200
HVO_RS19805	696.823259892071	2650.90660393707	-0.506820742545763	0.83064538354175	-1.927621155566	233
HVO_RS20145	724.818315948092	1247.73271828981	-0.206187586465704	0.0930727588689628	-0.783617604502178	719
HVO_RS20160	149.752089091041	309.408561205769	-0.20436117774983	0.0888783194015261	-1.04693698688279	1430
HVO_RS20165	163.64103458522	270.955006710652	-0.153252004048983	0.0140021935378128	-0.727518742014394	1373
HVO_RS12285	314.020321564286	247.759974081776	0.0582937248202103	0.223745293619199	0.341914787744671	1193
HVO_RS12345	147.0914207912	125.797229348429	0.0580848101598346	0.223401703967412	0.225612955280529	1877
HVO_RS12475	58.2699288096825	1136.12087209212	-0.733740022477166	0.924770509781892	-4.28522097325502	446
HVO_RS12560	806.615048082644	394.20253621855	0.27071314372171	0.425980041276803	1.03294326226885	920
HVO_RS12625	276.024450845815	68.5078110472957	0.334123427409978	0.456171105458232	2.01045567556636	1208
HVO_RS12645	73.2481899367827	1258.70360700159	-0.727828495048039	0.924230234535686	-4.10300168547318	452
HVO_RS12715	233.060027782601	978.593854016421	-0.413910791563795	0.724752751529557	-2.07000863357674	464
HVO_RS12795	325.257474632703	256.302815306808	0.0580204542936834	0.223295753203142	0.343732885703359	1931
HVO_RS12855	193.544273879289	147.830112925238	0.065002611117331	0.234662042639695	0.388723449555662	1712
HVO_RS12955	650.791199863603	32.7736681591972	0.736631121400318	0.494244138607157	4.31158568352137	734
HVO_RS13045	149.247652935937	1365.94750261298	-0.609243517380208	0.899383239723653	-3.19412188866978	431
HVO_RS13100	158.33067773225	388.916143431854	-0.240317619962014	0.189124549470179	-1.29651830519107	683
HVO_RS13115	340.824099329429	913.162167511467	-0.309884455061887	0.440144385421759	-1.42184373897446	854
