	t00_mean	t04_mean	theta	prob	log2FC	length
HVO_RS00705	65.9656286879949	33.3642202883406	0.30280480798519	0.736972418071865	0.983412716814414	695
HVO_RS00635	46.516078965752	44.8195722148906	0.0165361763502264	0.022197475833356	0.0536006121961331	863
HVO_RS00570	81.9706023815402	42.3075917094273	0.232037392727407	0.607433639748974	0.954190034970053	1949
HVO_RS00350	106.488514526318	14.5225950553639	0.782228623504138	0.9754959040271	2.87432665693338	530
HVO_RS00090	194.274637088036	39.41438039783	0.533269439928979	0.935645732169866	2.30130356635519	653
HVO_RS01720	285.072589610678	44.2521624053373	0.642576763124227	0.958613566714312	2.6875094673895	524
HVO_RS01710	36.4558018133964	8.94054377760591	0.421780780419246	0.899155082558144	2.02771394657749	2303
HVO_RS01330	72.1689459250974	9.05190752630118	0.621528223631964	0.95302516052124	2.99508443209396	1706
HVO_RS00950	1706.10016509837	1549.06097000947	0.0694584680210546	0.134436698779185	0.139308420970506	371
HVO_RS00945	556.275683036952	255.845062938904	0.374595273629859	0.852737976260254	1.12052964736235	311
HVO_RS00895	39.8482910564812	21.039902831066	0.191951759279065	0.505887082778801	0.921389811948373	974
HVO_RS00770	320.529079293002	61.0119813487699	0.688548132140146	0.972147863423883	2.39329076039565	548
HVO_RS00755	906.449613980863	2308.0784194002	-0.777192091903211	0.961210148322091	-1.34839350841495	413
HVO_RS19935	NA	NA	NA	NA	NA	245
HVO_RS03435	NA	NA	NA	NA	NA	434
HVO_RS04090	231.047725038714	363.181044289325	-0.287484642644383	0.579426760640491	-0.652498020816697	872
HVO_RS04280	259.507730748663	47.223785808296	0.658998082166636	0.963608327502553	2.45819190875188	599
HVO_RS04545	127.847548403857	54.8006043540261	0.270036672527429	0.681376986810026	1.2221607870517	611
HVO_RS04675	706.712778862883	1181.64067677547	-0.501303075916241	0.862896078242582	-0.74159549404486	368
HVO_RS02480	180.40845635076	88.7382193513725	0.262899280156888	0.668720481523842	1.023639455149	611
HVO_RS02940	332.982609926439	351.725340340838	-0.0291910430435076	0.00279666337681717	-0.0790024445864986	527
HVO_RS03305	241.429338170714	22.2748716379821	0.685422809295751	0.971353502838443	3.43811197796547	581
HVO_RS01920	NA	NA	NA	NA	NA	449
HVO_RS02130	165.391884943575	12.4804295721427	0.750921989789634	0.977951144429143	3.72814895226973	821
HVO_RS19745	256.775588060852	82.1510819782459	0.443156682131647	0.911139655907874	1.6441565688081	626
HVO_RS02045	857.030703686376	451.766658474973	0.54023160886832	0.937250026055614	0.923769090651224	302
HVO_RS02040	746.706087794607	460.706119913146	0.331149304625724	0.785386681060408	0.696693730691846	425
HVO_RS01975	NA	NA	NA	NA	NA	683
HVO_RS01970	1008.75588346055	539.847135455189	0.412767865315296	0.892578237087717	0.901954235024655	167
HVO_RS01960	653.084938586875	396.666781799949	0.342536382077816	0.804545319784429	0.719343050823532	395
HVO_RS01955	201.457032966709	32.7305719557451	0.545083312279184	0.93834020533143	2.62176145325119	704
HVO_RS03500	265.369658535182	372.987566123495	-0.154803727203089	0.205881752618201	-0.491124110453424	296
HVO_RS02535	125.277695552064	79.2187527442556	0.162404436535205	0.416476411759508	0.661215687923518	1169
HVO_RS03835	164.354452413775	136.646692172156	0.0870415252923672	0.182272070587738	0.266360003270365	1166
HVO_RS03085	407.664298656286	708.739402007777	-0.305592617180039	0.626661239241035	-0.797873639330732	317
HVO_RS03550	27.8170803510647	63.1203869076207	-0.299118379966734	0.610221450712761	-1.18213504442898	1019
HVO_RS02965	709.986347145812	516.453039308376	0.250314599942989	0.645224545770904	0.459154110366151	374
HVO_RS19945	168.139621847605	17.4732698736501	0.715557367755963	0.977127170291715	3.26643821507563	881
HVO_RS02380	220.232932921058	525.055254842665	-0.605131835916946	0.921767268466596	-1.25343903358651	1166
HVO_RS03005	129.505507581276	75.0912614412061	0.198402806523045	0.523958841279118	0.786296521255695	1166
HVO_RS20080	NA	NA	NA	NA	NA	194
HVO_RS02165	63.3374733587981	3.4339680319924	1.01192528836594	0.989616747426627	4.20511080295389	1499
HVO_RS03490	127.102132075587	83.6288358765618	0.145624259649793	0.362703404752889	0.603915845310911	1166
HVO_RS02455	11081.6258935496	43411.4567191458	-1.55793168724537	0.995317799149663	-1.96990626582633	878
HVO_RS03695	136.095573548826	180.523303825824	-0.138043111913971	0.164123829835826	-0.407564942659982	683
HVO_RS19720	843.220479267398	412.77351602021	0.37195686216839	0.849230620255089	1.03055949717619	200
HVO_RS19805	851.042228041172	608.269782759446	0.236405538563232	0.616917442158581	0.484519382371725	233
HVO_RS20145	527.785691194189	1031.27346442235	-0.460574642436349	0.827515475434218	-0.966402801792359	719
HVO_RS20160	125.595446220666	224.758012146567	-0.283939197256088	0.569796307332828	-0.839588389041304	1430
HVO_RS20165	112.256590101854	256.512643034933	-0.391555203641681	0.769279638920968	-1.19222979348494	1373
HVO_RS12285	68.0380613029333	28.1071020465164	0.281523692353712	0.701100646264391	1.27540731918247	1193
HVO_RS12345	56.3825919632424	137.120886519888	-0.350674175153561	0.719654573748269	-1.28212663531125	1877
HVO_RS12475	306.370985000325	46.1660814345884	0.658019642799692	0.963304905314077	2.73037448555677	446
HVO_RS12560	169.008097579164	293.664993452115	-0.264603736180302	0.516151375160926	-0.797078927299119	920
HVO_RS12625	22.5485485010377	17.0045271843066	0.119316573537144	0.278584752600862	0.407115675002134	1208
HVO_RS12645	351.406903572479	85.5736522598465	0.541239334867971	0.937478622208416	2.03790396328736	452
HVO_RS12715	311.004209045952	405.080420560759	-0.152527381883319	0.199933201594636	-0.381274248954076	464
HVO_RS12795	68.8971863027741	9.3426281825169	0.605291403652167	0.949583158626587	2.88254470791795	1931
HVO_RS12855	42.8042512276852	4.49589683372831	0.741017475425313	0.978297731049704	3.25107325328943	1712
HVO_RS12955	11.0527874612506	2.5737590399783	0.710310962460844	0.97645517562488	2.10246135918976	734
HVO_RS13045	395.349317292926	352.26793878916	0.0564292936744869	0.101446768127065	0.166454757556638	431
HVO_RS13100	148.363567482728	316.182638290274	-0.422771768313361	0.79588991344656	-1.09162128717601	683
HVO_RS13115	334.24527282179	350.280199545307	-0.0281892196108332	0.00231944049669797	-0.0676022818848283	854
HVO_RS13545	524.590637168938	342.800604799565	0.245984262850582	0.636702815381424	0.613822403999215	389
HVO_RS13795	1807.91883170017	7334.38576738818	-1.53531610695855	0.99329435216034	-2.02034624162431	305
HVO_RS13805	854.781363068425	955.084919111312	-0.0753349524638786	0.0508763822126348	-0.160073559625284	197
HVO_RS13810	255.418960605699	824.230135292444	-0.665109221426009	0.937219526869633	-1.69018158692644	572
HVO_RS14080	22.915210517045	99.6450580451726	-0.56482264293934	0.90799360007167	-2.12049271603774	1964
HVO_RS14085	87.0321309518929	23.2456443416199	0.365934674981735	0.840875689208648	1.90458770438091	473
HVO_RS14205	322.787646796807	51.9188895739823	0.763512322890766	0.977096963348865	2.63625393435656	593
HVO_RS14460	151.301535655554	167.384311753069	-0.0592457386112305	0.0297988743714425	-0.145737685860211	461
HVO_RS14600	95.8415413222243	248.382514114265	-0.536456483598862	0.890972355183495	-1.37384059798947	932
HVO_RS14635	438.858645230996	1107.78893155698	-0.776555557728969	0.961178029956099	-1.33585479615421	620
HVO_RS14640	28.4390945317591	13.8434808980987	0.240853723422298	0.626273616309806	1.03866878237848	1112
HVO_RS14935	68.8763218710285	18.8784281661	0.558394664462541	0.941158117281323	1.86726945239222	818
HVO_RS14985	638.530487236481	115.561270812735	0.71276545606266	0.976788264224627	2.46609753016118	266
HVO_RS15030	940.91372353976	577.316916603482	0.267826054078662	0.67749870106267	0.7046989420798	197
HVO_RS15300	314.558566616751	232.916513546573	0.176732855598065	0.461011630672956	0.433515723918181	707
HVO_RS15530	375.906153301502	316.550613861049	0.0917960390938537	0.195795263370622	0.247936338142799	512
HVO_RS15550	325.571107360213	297.903865802341	0.0432686483080634	0.0708879692059501	0.128125828961568	509
HVO_RS15585	2268.89835600826	582.18667237618	0.763198081165211	0.97712208636568	1.96243826114332	353
HVO_RS15625	183.203671446031	27.6675900010376	0.662687700087804	0.96475105295132	2.72717952780726	932
HVO_RS15645	370.028443979329	86.5000554771927	0.548537502860385	0.939097881694908	2.09686321141307	416
HVO_RS15650	68.4299251714128	4.01093036964193	0.811250752836229	0.973626194919411	4.09261854369699	1919
HVO_RS15690	NA	NA	NA	NA	NA	632
