	t02_mean	t04_mean	theta	prob	log2FC	length	P	locus_tag
HVO_RS00705	360.371729321448	39.2043927316932	0.70734639300452	0.972090465991938	3.20039862004612	695	0.0279095340080621	HVO_RS00705
HVO_RS00635	284.891070411038	52.2782542548976	0.530426042821725	0.941602880418283	2.44612753206733	863	0.058397119581717	HVO_RS00635
HVO_RS00570	152.751776636437	49.6561672582038	0.406096504060033	0.895179945313298	1.6211443443226	1949	0.104820054686702	HVO_RS00570
HVO_RS00350	470.320156677575	17.6942876888243	1.00349130946233	0.976661925614227	4.73228757350982	530	0.0233380743857733	HVO_RS00350
HVO_RS00090	369.753955835502	46.7394403057729	0.665915944798765	0.967178012356761	2.98385321877881	653	0.0328219876432387	HVO_RS00090
HVO_RS01720	492.418668111289	51.9981926498603	0.726545537147405	0.975195333985313	3.24335207282249	524	0.0248046660146867	HVO_RS01720
HVO_RS01710	111.454022049973	10.6021205452609	0.660597055442084	0.966703259986714	3.39402392592917	2303	0.0332967400132859	HVO_RS01710
HVO_RS01330	143.645148834763	10.7341809565075	0.717311878581205	0.973683550616954	3.74222525173242	1706	0.0263164493830459	HVO_RS01330
HVO_RS00950	2787.38746368287	1816.01578462043	0.310260764284304	0.771691907294315	0.618136817261898	371	0.228308092705685	HVO_RS00950
HVO_RS00945	996.365992416436	310.643389336205	0.550944480005176	0.945672074154783	1.68141642764808	311	0.054327925845217	HVO_RS00945
HVO_RS00895	246.564297159647	25.9790021482953	0.614151365883431	0.960538669672145	3.24654598754628	974	0.0394613303278549	HVO_RS00895
HVO_RS00770	119.584174696775	72.8080784575668	0.14100347300526	0.32445935395832	0.715856042149795	548	0.67554064604168	HVO_RS00770
HVO_RS00755	1114.5770759886	2777.67235511994	-0.543604202283308	0.92113465195339	-1.31738004763331	413	0.0788653480466098	HVO_RS00755
HVO_RS04090	412.663639296415	429.240745408323	-0.0228261102913725	0.00128001589839633	-0.056820704613439	872	0.998719984101604	HVO_RS04090
HVO_RS04280	451.573537822792	56.4184575806555	0.775983508273022	0.98058782606115	3.00072181690107	599	0.0194121739388496	HVO_RS04280
