	X00_mean	X04_mean	theta	prob	log2FC	length	P	ncbi_id
lcl|NC_013967.1_cds_WP_004044952.1_3964	545.260431547975	809.031160655814	-1.24533957260305	0.990958819397629	-0.569249804807903	641	0.00904118060237125	lcl|NC_013967.1_cds_WP_004044952.1_3964
lcl|NC_013967.1_cds_WP_004044951.1_3963	508.688349412319	756.303908022539	-0.965982315405039	0.982449278340431	-0.57218402146884	392	0.0175507216595689	lcl|NC_013967.1_cds_WP_004044951.1_3963
lcl|NC_013967.1_cds_WP_013035500.1_3962	17.3988723002609	34.8321615964407	-0.584364406790708	0.960021293051927	-1.00142620423006	992	0.0399787069480733	lcl|NC_013967.1_cds_WP_013035500.1_3962
lcl|NC_013967.1_cds_WP_004044943.1_3961	26.1159197192913	23.405883623109	0.0838555368350558	0.169856537591635	0.158058280757461	2576	0.830143462408365	lcl|NC_013967.1_cds_WP_004044943.1_3961
lcl|NC_013967.1_cds_WP_004044927.1_3959	94.1848845258027	61.8518514425692	0.43402170875798	0.908935085340351	0.606678763474782	605	0.0910649146596493	lcl|NC_013967.1_cds_WP_004044927.1_3959
lcl|NC_013967.1_cds_WP_004044925.1_3958	124.846478685396	889.5642377572	-4.26215163164141	1	-2.83294365963249	914	0	lcl|NC_013967.1_cds_WP_004044925.1_3958
lcl|NC_013967.1_cds_WP_004044915.1_3954	421.631552927119	453.581862295155	-0.102126157819218	0.268877720326746	-0.10538011580432	275	0.731122279673254	lcl|NC_013967.1_cds_WP_004044915.1_3954
lcl|NC_013967.1_cds_WP_004044914.1_3953	5.22261220185772	5.59601985410592	-0.0467233979639765	0.0521922835581622	-0.0996294987657594	980	0.947807716441838	lcl|NC_013967.1_cds_WP_004044914.1_3953
lcl|NC_013967.1_cds_WP_004044911.1_3952	2.0641402474508	3.82346552773901	-0.323487666803754	0.843059595203928	-0.889339869225004	923	0.156940404796072	lcl|NC_013967.1_cds_WP_004044911.1_3952
lcl|NC_013967.1_cds_WP_013035280.1_3947	12.206544050621	6.06306391904444	0.377147422830083	0.87226255425602	1.0095358614082	1160	0.12773744574398	lcl|NC_013967.1_cds_WP_013035280.1_3947
lcl|NC_013967.1_cds_WP_004044900.1_3946	27645.5520474635	54061.8496397596	-1.86528980257074	0.99231150227043	-0.967563491409389	389	0.00768849772957025	lcl|NC_013967.1_cds_WP_004044900.1_3946
lcl|NC_013967.1_cds_3945	7.7264701938588	4.38390671527542	0.276802956340168	0.791456918465857	0.817592375699908	909	0.208543081534143	lcl|NC_013967.1_cds_3945
lcl|NC_013967.1_cds_WP_004044895.1_3943	141.483968928433	200.368978403384	-0.340214095373703	0.859656203316092	-0.502020568976017	368	0.140343796683908	lcl|NC_013967.1_cds_WP_004044895.1_3943
lcl|NC_013967.1_cds_WP_004044893.1_3942	53.3579453463032	85.38071262862	-0.371582666315364	0.880614849069811	-0.678207090311463	251	0.119385150930189	lcl|NC_013967.1_cds_WP_004044893.1_3942
lcl|NC_013967.1_cds_WP_004044889.1_3940	6.54586719546534	6.3285449203729	0.0224243564257158	0.012186593506303	0.0487105041995221	1364	0.987813406493697	lcl|NC_013967.1_cds_WP_004044889.1_3940
lcl|NC_013967.1_cds_WP_004044886.1_3938	53.5747230049964	54.8191811224983	-0.0108293489607471	0.00234904464876817	-0.0331282918276174	188	0.997650955351232	lcl|NC_013967.1_cds_WP_004044886.1_3938
lcl|NC_013967.1_cds_3937	520.316300396494	277.714373374212	1.06676747338938	0.985206304124003	0.905787057414596	318	0.0147936958759967	lcl|NC_013967.1_cds_3937
lcl|NC_013967.1_cds_WP_004044873.1_3936	19.3244953827213	12.5870209950407	0.281942613185907	0.798883326301611	0.618493864946949	593	0.201116673698389	lcl|NC_013967.1_cds_WP_004044873.1_3936
lcl|NC_013967.1_cds_WP_004044866.1_3932	943.109892618521	1187.25434245197	-0.750487046671878	0.970088090883163	-0.332131242089287	203	0.0299119091168374	lcl|NC_013967.1_cds_WP_004044866.1_3932
lcl|NC_013967.1_cds_WP_004044864.1_3931	23.5417035352572	79.2979337206692	-1.09934370787201	0.989408996607785	-1.75206455278039	680	0.0105910033922151	lcl|NC_013967.1_cds_WP_004044864.1_3931
lcl|NC_013967.1_cds_WP_004044862.1_3930	0.63976999472757	19.3572365170549	-1.11989278341189	0.991632335975615	-4.91917586316651	233	0.00836766402438505	lcl|NC_013967.1_cds_WP_004044862.1_3930
lcl|NC_013967.1_cds_WP_004044859.1_3928	120.465598903096	182.614816272455	-0.470845191127973	0.927385858733775	-0.600182603695576	296	0.0726141412662253	lcl|NC_013967.1_cds_WP_004044859.1_3928
lcl|NC_013967.1_cds_WP_004044857.1_3927	4.65543885894158	19.5215424351914	-0.938362583630883	0.980985540918386	-2.06807796826382	965	0.0190144590816136	lcl|NC_013967.1_cds_WP_004044857.1_3927
lcl|NC_013967.1_cds_WP_004044855.1_3926	9.42130011362864	17.9228487016415	-0.399077634057906	0.893849806770945	-0.92780189446215	1823	0.106150193229055	lcl|NC_013967.1_cds_WP_004044855.1_3926
lcl|NC_013967.1_cds_WP_004044843.1_3923	30.6110045324196	0.393504476795604	3.28510212094376	1	6.28152652999353	209	0	lcl|NC_013967.1_cds_WP_004044843.1_3923
lcl|NC_013967.1_cds_WP_004044837.1_3919	3.04894358090979	1.53302427069582	0.285759260520984	0.803893477837399	0.991928916495644	1259	0.196106522162601	lcl|NC_013967.1_cds_WP_004044837.1_3919
lcl|NC_013967.1_cds_WP_049914907.1_3918	40.8474328255707	8.60990913517388	0.740900880540258	0.968159874059912	2.2461754935919	584	0.0318401259400881	lcl|NC_013967.1_cds_WP_049914907.1_3918
lcl|NC_013967.1_cds_WP_004044834.1_3916	56.7403325611143	34.7810419060742	0.434569386872193	0.909187483569469	0.706073455546429	665	0.090812516430531	lcl|NC_013967.1_cds_WP_004044834.1_3916
lcl|NC_013967.1_cds_WP_004044830.1_3913	14508.9650075788	1202.93556811665	6.02130699857526	1	3.59231333311529	191	0	lcl|NC_013967.1_cds_WP_004044830.1_3913
lcl|NC_013967.1_cds_WP_004044828.1_3912	88.3169177013769	27.281783129293	0.748440291368264	0.969220944912358	1.69475188074804	416	0.0307790550876422	lcl|NC_013967.1_cds_WP_004044828.1_3912
lcl|NC_013967.1_cds_WP_004044826.1_3911	38.8984304364636	80.3444669043724	-0.497332616222865	0.938033582194939	-1.04648672980366	212	0.061966417805061	lcl|NC_013967.1_cds_WP_004044826.1_3911
lcl|NC_013967.1_cds_WP_004044823.1_3909	36.2839205348958	33.14230113909	0.0746732028632163	0.133535320421482	0.130656574403056	1565	0.866464679578518	lcl|NC_013967.1_cds_WP_004044823.1_3909
lcl|NC_013967.1_cds_WP_004044820.1_3908	20.6257582200239	29.5213412110031	-0.206036075838364	0.643802930332965	-0.517311112280045	983	0.356197069667035	lcl|NC_013967.1_cds_WP_004044820.1_3908
lcl|NC_013967.1_cds_WP_004044818.1_3907	59.8275384459684	67.7641661066779	-0.104159438369376	0.278488204941134	-0.179712867825436	1106	0.721511795058866	lcl|NC_013967.1_cds_WP_004044818.1_3907
lcl|NC_013967.1_cds_WP_004044808.1_3904	25.6342106684432	40.1094589861054	-0.334456906582542	0.854448990978712	-0.645872031795195	650	0.145551009021288	lcl|NC_013967.1_cds_WP_004044808.1_3904
lcl|NC_013967.1_cds_WP_004044805.1_3902	3.12535960535056	1.91858761032453	0.276535148075565	0.791033715592073	0.703977550871253	1019	0.208966284407927	lcl|NC_013967.1_cds_WP_004044805.1_3902
lcl|NC_013967.1_cds_WP_004044803.1_3901	6.03048545319568	9.15493016512273	-0.313446090883121	0.830970744057939	-0.602274737478621	1589	0.169029255942061	lcl|NC_013967.1_cds_WP_004044803.1_3901
lcl|NC_013967.1_cds_WP_004044797.1_3898	12.7662879911171	20.4092703919937	-0.334778340686077	0.854751954673915	-0.676885509972581	1499	0.145248045326085	lcl|NC_013967.1_cds_WP_004044797.1_3898
lcl|NC_013967.1_cds_WP_004044789.1_3895	14.7177005462468	14.909824499888	-0.00962149436904082	0.00184595073702276	-0.0187109898625804	2612	0.998154049262977	lcl|NC_013967.1_cds_WP_004044789.1_3895
lcl|NC_013967.1_cds_WP_004044786.1_3893	7.87004871627753	15.2097746779322	-0.444406097753338	0.91550791666352	-0.950554309433535	1055	0.0844920833364797	lcl|NC_013967.1_cds_WP_004044786.1_3893
lcl|NC_013967.1_cds_WP_004044777.1_3890	60.5730134680263	44.3822775148858	0.248353931355614	0.734034956198031	0.448691483739936	890	0.265965043801969	lcl|NC_013967.1_cds_WP_004044777.1_3890
lcl|NC_013967.1_cds_WP_004044773.1_3888	93.597107322323	53.1995933886432	0.52609276705688	0.942826597636598	0.815048724032599	377	0.0571734023634016	lcl|NC_013967.1_cds_WP_004044773.1_3888
lcl|NC_013967.1_cds_WP_004044769.1_3886	48.6740600906686	221.49793793928	-1.59756476530038	0.998444041766003	-2.18606824241238	392	0.0015559582339969	lcl|NC_013967.1_cds_WP_004044769.1_3886
lcl|NC_013967.1_cds_WP_004044767.1_3885	10.6335273384048	16.3608799544543	-0.279615535899788	0.78205307288786	-0.621630099367706	599	0.21794692711214	lcl|NC_013967.1_cds_WP_004044767.1_3885
lcl|NC_013967.1_cds_WP_004044765.1_3884	15.0512773477735	24.4802368672249	-0.34104465797204	0.860364162450274	-0.701731588886471	1313	0.139635837549726	lcl|NC_013967.1_cds_WP_004044765.1_3884
lcl|NC_013967.1_cds_WP_004044763.1_3883	12.4965187729586	15.9930474137327	-0.143324720655286	0.448599766925401	-0.355918613999479	719	0.551400233074599	lcl|NC_013967.1_cds_WP_004044763.1_3883
lcl|NC_013967.1_cds_3882	15.5559300493394	5.48487300342177	0.558466859830453	0.951964817387321	1.50393453049192	1157	0.0480351826126786	lcl|NC_013967.1_cds_3882
lcl|NC_013967.1_cds_WP_004044756.1_3880	54.4782300463394	26.1686704745477	0.578720993123268	0.956656528655347	1.0578392034309	749	0.0433434713446532	lcl|NC_013967.1_cds_WP_004044756.1_3880
