	X00_mean	p0_mean	theta	prob	log2FC	length	P	ncbi_id
lcl|NC_013967.1_cds_WP_004044952.1_3964	366.645082040151	224.9790634686	1.06059772910978	0.970431593345081	0.704593437433644	641	0.0295684066549187	lcl|NC_013967.1_cds_WP_004044952.1_3964
lcl|NC_013967.1_cds_WP_004044951.1_3963	342.053211295121	364.325666256605	-0.11601809313931	0.400506651098841	-0.0910078600729912	392	0.599493348901159	lcl|NC_013967.1_cds_WP_004044951.1_3963
lcl|NC_013967.1_cds_WP_013035500.1_3962	11.699383620823	30.9823392108667	-0.746279427543507	0.963152698714369	-1.40501355000215	992	0.0368473012856312	lcl|NC_013967.1_cds_WP_013035500.1_3962
lcl|NC_013967.1_cds_WP_004044943.1_3961	17.5609176349908	23.3102480014653	-0.207717944701599	0.733183239805602	-0.408596119623879	2576	0.266816760194398	lcl|NC_013967.1_cds_WP_004044943.1_3961
lcl|NC_013967.1_cds_WP_004044927.1_3959	63.3319836098665	74.1716466786994	-0.160707237129256	0.600269395826775	-0.227933532015348	605	0.399730604173225	lcl|NC_013967.1_cds_WP_004044927.1_3959
lcl|NC_013967.1_cds_WP_004044925.1_3958	83.9495125110752	85.8616781804475	-0.0243725326860818	0.01899715928477	-0.0324924232124087	914	0.98100284071523	lcl|NC_013967.1_cds_WP_004044925.1_3958
lcl|NC_013967.1_cds_WP_004044915.1_3954	283.514310537456	229.914798372828	0.227900597056075	0.741355484962299	0.302322230287973	275	0.258644515037701	lcl|NC_013967.1_cds_WP_004044915.1_3954
lcl|NC_013967.1_cds_WP_004044914.1_3953	3.5117990751279	1.79360138367717	0.342289165771006	0.868744476047904	0.969351008325624	980	0.131255523952096	lcl|NC_013967.1_cds_WP_004044914.1_3953
lcl|NC_013967.1_cds_WP_004044911.1_3952	1.38797320799609	1.87636589837725	-0.139737990016168	0.512955617625198	-0.434961466335883	923	0.487044382374802	lcl|NC_013967.1_cds_WP_004044911.1_3952
lcl|NC_013967.1_cds_WP_013035280.1_3947	8.20794813986583	9.51510856731415	-0.0853098712334234	0.263887224784997	-0.213198502113217	1160	0.736112775215003	lcl|NC_013967.1_cds_WP_013035280.1_3947
lcl|NC_013967.1_cds_WP_004044900.1_3946	18589.4759862025	28496.5632909059	-1.62596570331001	0.999997123939132	-0.616301836469923	389	2.87606086801784e-06	lcl|NC_013967.1_cds_WP_004044900.1_3946
lcl|NC_013967.1_cds_3945	5.19544814588089	3.21334915592839	0.281815379043749	0.829640849684102	0.693170448018369	909	0.170359150315898	lcl|NC_013967.1_cds_3945
lcl|NC_013967.1_cds_WP_004044895.1_3943	95.1369261251212	25.5679748399129	0.822118925536273	0.945454289113405	1.89566751886495	368	0.0545457108865949	lcl|NC_013967.1_cds_WP_004044895.1_3943
lcl|NC_013967.1_cds_WP_004044893.1_3942	35.8790535991202	55.714358376991	-0.380610004003765	0.905805907716604	-0.634907342345115	251	0.0941940922833958	lcl|NC_013967.1_cds_WP_004044893.1_3942
lcl|NC_013967.1_cds_WP_004044889.1_3940	4.40158477682267	5.5336589867145	-0.151432917750796	0.564152229279948	-0.330210685083637	1364	0.435847770720052	lcl|NC_013967.1_cds_WP_004044889.1_3940
lcl|NC_013967.1_cds_WP_004044886.1_3938	36.024819654857	49.2231539908476	-0.14898920987012	0.553906029835289	-0.450345893857633	188	0.446093970164711	lcl|NC_013967.1_cds_WP_004044886.1_3938
lcl|NC_013967.1_cds_3937	349.872100757627	334.899339067977	0.0758142565666218	0.194923331688705	0.0631000979895177	318	0.805076668311295	lcl|NC_013967.1_cds_3937
lcl|NC_013967.1_cds_WP_004044873.1_3936	12.99421484678	11.6821971278395	0.0592590160909793	0.128325112224887	0.153557829626429	593	0.871674887775113	lcl|NC_013967.1_cds_WP_004044873.1_3936
lcl|NC_013967.1_cds_WP_004044866.1_3932	634.167792022465	304.076443892657	1.18260541433707	0.985001235424524	1.06043054960766	203	0.0149987645754759	lcl|NC_013967.1_cds_WP_004044866.1_3932
lcl|NC_013967.1_cds_WP_004044864.1_3931	15.8299581716299	8.51497279687493	0.409710510166575	0.897483042174088	0.894583617379469	680	0.102516957825912	lcl|NC_013967.1_cds_WP_004044864.1_3931
lcl|NC_013967.1_cds_WP_004044859.1_3928	81.0037127899596	190.199822478225	-1.02997570597441	0.971641072261449	-1.23145595938744	296	0.028358927738551	lcl|NC_013967.1_cds_WP_004044859.1_3928
lcl|NC_013967.1_cds_WP_004044857.1_3927	3.13041927051947	6.61627547268736	-0.468268251794337	0.927504759144805	-1.07966340680065	965	0.0724952408551954	lcl|NC_013967.1_cds_WP_004044857.1_3927
lcl|NC_013967.1_cds_WP_004044855.1_3926	6.33508898358845	14.3778818152747	-0.496979579043473	0.926665755253686	-1.18241436114163	1823	0.0733342447463137	lcl|NC_013967.1_cds_WP_004044855.1_3926
lcl|NC_013967.1_cds_WP_004044843.1_3923	20.5835113255104	14.5074104269237	0.139916515646673	0.486423024190384	0.504699090183978	209	0.513576975809616	lcl|NC_013967.1_cds_WP_004044843.1_3923
lcl|NC_013967.1_cds_WP_004044837.1_3919	2.0501765847649	0.923911856024842	0.584324081199147	0.936986529377824	1.14992105069177	1259	0.0630134706221764	lcl|NC_013967.1_cds_WP_004044837.1_3919
lcl|NC_013967.1_cds_WP_049914907.1_3918	27.4667103881775	22.8391992461533	0.113522366625937	0.372623831175019	0.266172063199647	584	0.627376168824981	lcl|NC_013967.1_cds_WP_049914907.1_3918
lcl|NC_013967.1_cds_WP_004044834.1_3916	38.1534450020418	34.0118630704275	0.0994935545578057	0.306208080900951	0.165775293870366	665	0.693791919099049	lcl|NC_013967.1_cds_WP_004044834.1_3916
lcl|NC_013967.1_cds_WP_004044830.1_3913	9756.14652693417	4399.06893702216	3.79148780188316	1	1.14911321639937	191	0	lcl|NC_013967.1_cds_WP_004044830.1_3913
lcl|NC_013967.1_cds_WP_004044828.1_3912	59.386233921699	136.950006438046	-0.746857657837117	0.963018599295144	-1.20544888416674	416	0.0369814007048559	lcl|NC_013967.1_cds_WP_004044828.1_3912
lcl|NC_013967.1_cds_WP_004044826.1_3911	26.1561584032812	38.1639052997362	-0.233227284430987	0.7845786921574	-0.545058143928863	212	0.2154213078426	lcl|NC_013967.1_cds_WP_004044826.1_3911
