Row.names	de00	de02	de04	de08	de24	old	new	prot	geneid	arcog	cog	gene_name
lcl|NC_013967.1_cds_WP_004042071.1_3158	-1.77462999852585	-5.60510515984993	-4.91343230758541	-2.87343311828568	-2.81376345511129	HVO_2179	HVO_RS15185	hypothetical protein		arCOG06309	-	-
lcl|NC_013967.1_cds_WP_004045172.1_1170	-1.65284755615415	-3.66637351733614	-4.97068260803329	-3.35134796788377	-3.5926642251313	HVO_0096	HVO_RS05150	NADH-binding protein		arCOG03015	COG0702MG	-
lcl|NC_013967.1_cds_WP_004042130.1_3216	-2.15197866776795	-4.77101254324456	-4.99270379284315	-4.31793970672195	-2.75619524123378	HVO_2241	HVO_RS15475	hypothetical protein		arCOG07770	-	-
lcl|NC_013967.1_cds_WP_004041640.1_2751	-1.70854666841793	-5.05969586564283	-5.07933929455157	-3.95073004948317	-3.21049625735814	HVO_1757	HVO_RS13155	terminal quinol oxidase		arCOG02861	-	-
lcl|NC_013967.1_cds_WP_004044546.1_1441	-4.60268107112752	0.607518635583196	-5.2412520183505	0.493439325228192	-5.26571293986232	HVO_0378	HVO_RS06520	hypothetical protein		-	-	NA
lcl|NC_013967.1_cds_WP_004045314.1_1274	-3.34130300662845	-4.92123834767553	-5.32957612840856	-4.26846715000456	-2.91682821463484	HVO_0200	HVO_RS05675	transcriptional regulator		arCOG03828	-	-
lcl|NC_013967.1_cds_WP_004044013.1_1960	-1.71488573651005	-3.80217538552059	-5.40374501177335	-3.00377619845272	-3.03252950605508	HVO_0932	HVO_RS09160	UspA domain-containing protein		arCOG02053	COG0589T	UspA
lcl|NC_013967.1_cds_WP_004044408.1_1573	-2.34157814167241	-6.50354899179559	-5.41150536977656	-3.93138001377692	-4.73936346032541	HVO_0515	HVO_RS07195	hypothetical protein		arCOG10374	-	-
lcl|NC_013967.1_cds_WP_004043629.1_2324	-4.87244964353826	-5.30317556010248	-5.50629539063026	-1.26404706396306	0.0119861415806349	HVO_RS11000	HVO_RS11000	hypothetical protein		NA	NA	-
lcl|NC_013967.1_cds_WP_004042261.1_3346	-1.76336599025029	-1.56362757297432	-5.55647615193347	-1.13230639401572	-5.59134315150411	HVO_2372	HVO_RS16120	hypothetical protein		arCOG04418	COG3612S	-
lcl|NC_013967.1_cds_WP_004062665.1_3218	0.777082597196458	-5.43650495782586	-5.63767697896001	-0.265401560844407	-5.67917746792456	HVO_2243	HVO_RS15485	hypothetical protein		arCOG13615	-	-
lcl|NC_013967.1_cds_WP_004044843.1_3923	0.504699090183978	1.34834797079969	-5.69727023208792	0.623923472501346	-5.73878561941045	HVO_2973	HVO_RS19085	hypothetical protein		arCOG06327	-	-
lcl|NC_013967.1_cds_WP_004044551.1_1436	-5.41791743129091	-0.898491672991798	-6.03945934470498	0.78987545766239	-0.0164226740290905	HVO_0373	HVO_RS06495	hypothetical protein		-	-	NA
lcl|NC_013967.1_cds_WP_004041770.1_2872	-3.01299480323967	-3.04156695229917	-6.30850238549295	-3.5736336166527	-2.27404944957048	HVO_1889	HVO_RS13770	hypothetical protein		arCOG06324	-	-
lcl|NC_013967.1_cds_WP_004043998.1_1975	-3.43910222751588	-5.3616505251955	-6.42999001382072	-6.72934680099987	-7.11564323046997	HVO_0947	HVO_RS09235	hypothetical protein		arCOG11204	-	-
lcl|NC_013964.1_cds_277	-1.28759357262687	-0.450222623368388	-6.49596101672002	1.06139946428954	0.251526600444078	HVO_RS19670	HVO_RS19670	hypothetical protein		NA	NA	NA
lcl|NC_013967.1_cds_WP_004044014.1_1959	-1.43508887620049	-1.72185305960893	-6.61590906545263	-1.59003751275892	-1.84149626604117	HVO_0931	HVO_RS09155	UspA domain-containing protein		arCOG02053	COG0589T	UspA
lcl|NC_013966.1_cds_WP_004040949.1_1037	-1.59922961994132	-3.15456653184336	-7.80213626647814	-2.67427558111196	-2.5324327403568	HVO_A0592	HVO_RS04500	hypothetical protein		arCOG13582	-	-
lcl|NC_013967.1_cds_WP_004045285.1_1247	-5.11998348986504	-6.91023414540487	-8.21440585993537	-6.76875672425655	-5.07436737305847	HVO_0171	HVO_RS05540	SWIM zinc finger domain-containing protein		arCOG07773	-	-
lcl|NC_013967.1_cds_WP_004042005.1_3100	-0.722671660980138	-2.23129644785034	-8.41636594284824	-2.84776361192073	1.99596913919203	HVO_2121	HVO_RS14895	hypothetical protein		arCOG11345	-	-
