ap0_quant	a00_quant	a02_quant	a04_quant	a08_quant	a24_quant	bp0_quant	b00_quant	b02_quant	b04_quant	b08_quant	b24_quant
ap0_quant	1	0.910232658809104	0.804009286432594	0.785007683381223	0.80583607546763	0.818092131316978	0.940534143001121	0.916102662411698	0.801855744104167	0.790763782950525	0.795106526607071	0.796177191507946
a00_quant	0.910232658809104	1	0.857613965600036	0.850029852732658	0.864126238880397	0.859678155393635	0.90654786295451	0.946428390508073	0.859687011819198	0.851853123190651	0.853220933576897	0.846569547808105
a02_quant	0.804009286432594	0.857613965600036	1	0.934997157393972	0.9258555820702	0.879046940439144	0.795398465449636	0.849947229151626	0.953446041127094	0.930495349434206	0.910542489649057	0.883325689722916
a04_quant	0.785007683381223	0.850029852732658	0.934997157393972	1	0.950853396914502	0.907031635871631	0.783335839640786	0.843167678462755	0.937575279739348	0.951975383902678	0.936364280753075	0.910623449505301
a08_quant	0.80583607546763	0.864126238880397	0.9258555820702	0.950853396914502	1	0.924617571213183	0.804344647999954	0.856817398749149	0.929875031661226	0.943549341113797	0.945645664060537	0.927719994810749
a24_quant	0.818092131316978	0.859678155393635	0.879046940439144	0.907031635871631	0.924617571213183	1	0.814545291220631	0.854107457172509	0.882130990639503	0.904677278661279	0.916692197139899	0.933910069529069
bp0_quant	0.940534143001121	0.90654786295451	0.795398465449636	0.783335839640786	0.804344647999954	0.814545291220631	1	0.927197010779396	0.797746175258242	0.787842266110451	0.788887548482918	0.802213055588403
b00_quant	0.916102662411698	0.946428390508073	0.849947229151626	0.843167678462755	0.856817398749149	0.854107457172509	0.927197010779396	1	0.85171793306161	0.849224368530902	0.846929361240004	0.843901835324656
b02_quant	0.801855744104167	0.859687011819198	0.953446041127094	0.937575279739348	0.929875031661226	0.882130990639503	0.797746175258242	0.85171793306161	1	0.932679319278331	0.916410401382238	0.889808878800969
b04_quant	0.790763782950525	0.851853123190651	0.930495349434206	0.951975383902678	0.943549341113797	0.904677278661279	0.787842266110451	0.849224368530902	0.932679319278331	1	0.94093596326208	0.909771416441175
b08_quant	0.795106526607071	0.853220933576897	0.910542489649057	0.936364280753075	0.945645664060537	0.916692197139899	0.788887548482918	0.846929361240004	0.916410401382238	0.94093596326208	1	0.923021648239071
b24_quant	0.796177191507946	0.846569547808105	0.883325689722916	0.910623449505301	0.927719994810749	0.933910069529069	0.802213055588403	0.843901835324656	0.889808878800969	0.909771416441175	0.923021648239071	1
