	X00_mean	X08_mean	theta	prob	log2FC	length	P	ncbi_id
lcl|NC_013967.1_cds_WP_004044952.1_3964	555.630951581845	870.383720251182	-1.49141575108417	0.995740593594433	-0.647524605220875	641	0.00425940640556666	lcl|NC_013967.1_cds_WP_004044952.1_3964
lcl|NC_013967.1_cds_WP_004044951.1_3963	518.36329080427	1006.06077039747	-1.77728507615433	0.995799708473431	-0.956681993873661	392	0.00420029152656876	lcl|NC_013967.1_cds_WP_004044951.1_3963
lcl|NC_013967.1_cds_WP_013035500.1_3962	17.7297882136792	35.6591582884945	-0.59972116026435	0.971319853997569	-1.00809734645417	992	0.028680146002431	lcl|NC_013967.1_cds_WP_013035500.1_3962
lcl|NC_013967.1_cds_WP_004044943.1_3961	26.6126285449857	22.646347411096	0.122768255204096	0.540851967578623	0.232832633906604	2576	0.459148032421377	lcl|NC_013967.1_cds_WP_004044943.1_3961
lcl|NC_013967.1_cds_WP_004044927.1_3959	95.9762234445092	66.8624901354979	0.341963344571992	0.907418900917485	0.52147996003347	605	0.0925810990825146	lcl|NC_013967.1_cds_WP_004044927.1_3959
lcl|NC_013967.1_cds_WP_004044925.1_3958	127.22098237841	649.823822975858	-3.02507337354397	1	-2.35271200288352	914	0	lcl|NC_013967.1_cds_WP_004044925.1_3958
lcl|NC_013967.1_cds_WP_004044915.1_3954	429.650727276758	424.424993631098	0.0158347661356072	0.00428386895010202	0.0176547205692483	275	0.995716131049898	lcl|NC_013967.1_cds_WP_004044915.1_3954
lcl|NC_013967.1_cds_WP_004044914.1_3953	5.32194309281332	2.72901506373878	0.475896787625891	0.948592231409809	0.963572725713327	980	0.0514077685901911	lcl|NC_013967.1_cds_WP_004044914.1_3953
lcl|NC_013967.1_cds_WP_004044911.1_3952	2.1033989329346	4.5047118070547	-0.383085408493839	0.935183977755304	-1.09871231215744	923	0.064816022244696	lcl|NC_013967.1_cds_WP_004044911.1_3952
lcl|NC_013967.1_cds_WP_013035280.1_3947	12.4387050553392	7.49336661887179	0.250856736241943	0.841134508942783	0.731150356675483	1160	0.158865491057217	lcl|NC_013967.1_cds_WP_013035280.1_3947
lcl|NC_013967.1_cds_WP_004044900.1_3946	28171.3535448171	35893.6818673846	-0.583679639941341	0.968847050698365	-0.349501035789862	389	0.0311529493016355	lcl|NC_013967.1_cds_WP_004044900.1_3946
lcl|NC_013967.1_cds_3945	7.87342293295456	5.17196284677814	0.24382817756654	0.834069490102237	0.60627906541024	909	0.165930509897763	lcl|NC_013967.1_cds_3945
lcl|NC_013967.1_cds_WP_004044895.1_3943	144.174907513648	136.434857001797	0.0523482375538411	0.138627187204362	0.0796078191378358	368	0.861372812795638	lcl|NC_013967.1_cds_WP_004044895.1_3943
lcl|NC_013967.1_cds_WP_004044893.1_3942	54.3727808435518	51.2812747772724	0.0351519596831002	0.0537378650531821	0.0844524895874266	251	0.946262134946818	lcl|NC_013967.1_cds_WP_004044893.1_3942
lcl|NC_013967.1_cds_WP_004044889.1_3940	6.67036558735655	7.67456981068163	-0.0898277481792876	0.398859840850219	-0.202320049747497	1364	0.601140159149781	lcl|NC_013967.1_cds_WP_004044889.1_3940
lcl|NC_013967.1_cds_WP_004044886.1_3938	54.5936814807747	17.9618135229159	0.383049528752794	0.926668650065526	1.60380096752488	188	0.0733313499344735	lcl|NC_013967.1_cds_WP_004044886.1_3938
lcl|NC_013967.1_cds_3937	530.212398306793	307.431024163998	1.17206410036111	0.996357824336602	0.786307645261617	318	0.00364217566339753	lcl|NC_013967.1_cds_3937
lcl|NC_013967.1_cds_WP_004044873.1_3936	19.6920354698353	12.2263292234332	0.307479877060577	0.88470159143426	0.687620922524085	593	0.11529840856574	lcl|NC_013967.1_cds_WP_004044873.1_3936
lcl|NC_013967.1_cds_WP_004044866.1_3932	961.047266155373	1103.39027908904	-0.360687178244935	0.922909704438184	-0.199263883063555	203	0.0770902955618156	lcl|NC_013967.1_cds_WP_004044866.1_3932
lcl|NC_013967.1_cds_WP_004044864.1_3931	23.9894523430163	68.9500548779276	-0.887968599085197	0.990710727682259	-1.52315147737743	680	0.00928927231774135	lcl|NC_013967.1_cds_WP_004044864.1_3931
lcl|NC_013967.1_cds_WP_004044862.1_3930	0.651938028869632	30.6702888417997	-1.28105486505441	0.99332981148747	-5.55596311020153	233	0.0066701885125301	lcl|NC_013967.1_cds_WP_004044862.1_3930
lcl|NC_013967.1_cds_WP_004044860.1_3929	0.821659748777718	2.01844133016151	-0.512572828062595	0.959197372536939	-1.29662865345647	1325	0.0408026274630611	lcl|NC_013967.1_cds_WP_004044860.1_3929
lcl|NC_013967.1_cds_WP_004044859.1_3928	122.756780941136	187.273413312274	-0.470715472386653	0.951958173646315	-0.609343379170178	296	0.0480418263536847	lcl|NC_013967.1_cds_WP_004044859.1_3928
lcl|NC_013967.1_cds_WP_004044857.1_3927	4.74398245968672	18.1658267463539	-0.857430155222083	0.988701904608219	-1.93705644504138	965	0.0112980953917812	lcl|NC_013967.1_cds_WP_004044857.1_3927
lcl|NC_013967.1_cds_WP_004044855.1_3926	9.60048748157336	28.527307193545	-0.692083351550936	0.982951304381254	-1.57116400342517	1823	0.017048695618746	lcl|NC_013967.1_cds_WP_004044855.1_3926
lcl|NC_013967.1_cds_WP_004044843.1_3923	31.1932071229489	32.6903529204569	-0.0359844947725735	0.114928954218685	-0.0676330616008782	209	0.885071045781315	lcl|NC_013967.1_cds_WP_004044843.1_3923
lcl|NC_013967.1_cds_WP_004044837.1_3919	3.10693262368371	2.07439784123851	0.20389255374117	0.780029613143611	0.582798345867703	1259	0.219970386856389	lcl|NC_013967.1_cds_WP_004044837.1_3919
lcl|NC_013967.1_cds_WP_049914907.1_3918	41.6243260236469	16.4935861019331	0.55281152430719	0.961144524060367	1.33552180297071	584	0.0388554759396332	lcl|NC_013967.1_cds_WP_049914907.1_3918
