	X24_mean	p0_mean	theta	prob	log2FC	length	P	ncbi_id
lcl|NC_013967.1_cds_WP_004044952.1_3964	676.954760118538	283.650037868286	2.42994894810084	0.999999999999998	1.25494736724052	641	1.77635683940025e-15	lcl|NC_013967.1_cds_WP_004044952.1_3964
lcl|NC_013967.1_cds_WP_004044951.1_3963	1022.59034935506	459.337855420779	1.86593477564817	0.997475760516428	1.1546007254107	392	0.00252423948357161	lcl|NC_013967.1_cds_WP_004044951.1_3963
lcl|NC_013967.1_cds_WP_013035500.1_3962	47.984011399293	39.0618661838799	0.169297996861836	0.519444563562431	0.296792894306497	992	0.480555436437569	lcl|NC_013967.1_cds_WP_013035500.1_3962
lcl|NC_013967.1_cds_WP_004044943.1_3961	16.0884500923439	29.3893133388669	-0.427130144093663	0.89617868866119	-0.869266303479554	2576	0.10382131133881	lcl|NC_013967.1_cds_WP_004044943.1_3961
lcl|NC_013967.1_cds_WP_004044927.1_3959	59.4894569253767	93.5147715034397	-0.416306635041837	0.890218129910963	-0.652560261625531	605	0.109781870089037	lcl|NC_013967.1_cds_WP_004044927.1_3959
lcl|NC_013967.1_cds_WP_004044925.1_3958	539.739442145487	108.252987578108	1.8126555046755	0.99951101382646	2.31785627677475	914	0.000488986173539874	lcl|NC_013967.1_cds_WP_004044925.1_3958
lcl|NC_013967.1_cds_WP_004044915.1_3954	252.252386276713	289.876111216632	-0.143278344963331	0.405694012741548	-0.200568528221888	275	0.594305987258452	lcl|NC_013967.1_cds_WP_004044915.1_3954
lcl|NC_013967.1_cds_WP_004044914.1_3953	4.88384781465735	2.26137197797948	0.346683056906276	0.843162418184645	1.11081992163148	980	0.156837581815355	lcl|NC_013967.1_cds_WP_004044914.1_3953
lcl|NC_013967.1_cds_WP_004044911.1_3952	3.34746672700718	2.36566428943541	0.153802143661793	0.467425348467018	0.500824359717263	923	0.532574651532982	lcl|NC_013967.1_cds_WP_004044911.1_3952
lcl|NC_013967.1_cds_WP_004044909.1_3951	0.979124115190499	1.04026114299613	-0.0300713404623323	0.0262704842258156	-0.087382087578917	2099	0.973729515774184	lcl|NC_013967.1_cds_WP_004044909.1_3951
lcl|NC_013967.1_cds_WP_013035280.1_3947	4.13398581163621	11.9964786890795	-0.764470257892559	0.971321415915341	-1.53700565318518	1160	0.0286785840846592	lcl|NC_013967.1_cds_WP_013035280.1_3947
lcl|NC_013967.1_cds_WP_004044900.1_3946	28507.4769984207	35928.0218699517	-2.61192131017832	1	-0.333769143554799	389	2.22044604925031e-16	lcl|NC_013967.1_cds_WP_004044900.1_3946
lcl|NC_013967.1_cds_3945	4.51167255493501	4.05137011104819	0.0512599442254008	0.0676615755633059	0.155252476823637	909	0.932338424436694	lcl|NC_013967.1_cds_3945
lcl|NC_013967.1_cds_WP_004044895.1_3943	160.869305688072	32.2362846121397	1.16088898364019	0.994722544457536	2.3191317011118	368	0.00527745554246428	lcl|NC_013967.1_cds_WP_004044895.1_3943
lcl|NC_013967.1_cds_WP_004044893.1_3942	11.0159940522943	70.2440123886298	-0.818983482901783	0.975228366574933	-2.67277556935545	251	0.0247716334250666	lcl|NC_013967.1_cds_WP_004044893.1_3942
lcl|NC_013967.1_cds_WP_004044889.1_3940	6.26617604737495	6.97673211272983	-0.0581837634390336	0.09689972852368	-0.154966136593393	1364	0.90310027147632	lcl|NC_013967.1_cds_WP_004044889.1_3940
lcl|NC_013967.1_cds_WP_004044886.1_3938	24.0156644385302	62.0592252214966	-0.428175396997254	0.896726478481036	-1.36966996165084	188	0.103273521518964	lcl|NC_013967.1_cds_WP_004044886.1_3938
lcl|NC_013967.1_cds_3937	146.810987162249	422.23256014682	-1.19635453974096	0.984164684130871	-1.52407789349179	318	0.015835315869129	lcl|NC_013967.1_cds_3937
lcl|NC_013967.1_cds_WP_004044873.1_3936	19.6625760969335	14.7285540583398	0.159169405552947	0.485856446762706	0.416836545000897	593	0.514143553237294	lcl|NC_013967.1_cds_WP_004044873.1_3936
lcl|NC_013967.1_cds_WP_004044866.1_3932	979.650116031412	383.369768296511	1.58148597389318	0.996021849952051	1.35353000613535	203	0.00397815004794899	lcl|NC_013967.1_cds_WP_004044866.1_3932
lcl|NC_013967.1_cds_WP_004044864.1_3931	38.2079551000573	10.7354677402112	0.737106967562256	0.973854287841633	1.83148799610284	680	0.0261457121583674	lcl|NC_013967.1_cds_WP_004044864.1_3931
lcl|NC_013967.1_cds_WP_004044862.1_3930	27.9217237576621	0.733275446261461	2.54699612955191	1	5.25088896784542	233	0	lcl|NC_013967.1_cds_WP_004044862.1_3930
lcl|NC_013967.1_cds_WP_004044860.1_3929	0.517026796927008	1.10683086228145	-0.526222359564317	0.932436914910717	-1.09812381608159	1325	0.0675630850892834	lcl|NC_013967.1_cds_WP_004044860.1_3929
lcl|NC_013967.1_cds_WP_004044859.1_3928	88.1657702946331	239.800184090007	-1.02285365441686	0.983747930571937	-1.44354221231663	296	0.0162520694280627	lcl|NC_013967.1_cds_WP_004044859.1_3928
lcl|NC_013967.1_cds_WP_004044857.1_3927	9.92911336773286	8.34167016501613	0.109656503047598	0.293101169489923	0.251328628026522	965	0.706898830510077	lcl|NC_013967.1_cds_WP_004044857.1_3927
lcl|NC_013967.1_cds_WP_004044855.1_3926	21.2484859051744	18.1274545697599	0.108385642029426	0.287564963113914	0.22918368516228	1823	0.712435036886086	lcl|NC_013967.1_cds_WP_004044855.1_3926
lcl|NC_013967.1_cds_WP_004044843.1_3923	0.342530252964143	18.2913409653456	-1.27230180066627	0.991379331901265	-5.73878561941045	209	0.00862066809873485	lcl|NC_013967.1_cds_WP_004044843.1_3923
lcl|NC_013967.1_cds_WP_004044837.1_3919	1.89894539984007	1.16485376689668	0.220388136635192	0.66097566323091	0.705049570858888	1259	0.33902433676909	lcl|NC_013967.1_cds_WP_004044837.1_3919
lcl|NC_013967.1_cds_WP_049914907.1_3918	22.8942563690391	28.7951723717587	-0.159562084918512	0.468867546124745	-0.330841252795856	584	0.531132453875255	lcl|NC_013967.1_cds_WP_049914907.1_3918
