Row.names	de00	de02	de04	de08	de24	old	new	prot	gene_name	arcog
lcl|NC_013967.1_cds_WP_004045314.1_1274	-3.297030254	-5.054375821	-5.447694646	-4.326242241	-2.979983463	HVO_0200	HVO_RS05675	transcriptional regulator		arCOG03828
lcl|NC_013967.1_cds_WP_004041640.1_2751	-1.661599222	-5.105241813	-5.019819385	-4.034861772	-3.270509192	HVO_1757	HVO_RS13155	terminal quinol oxidase		arCOG02861
lcl|NC_013967.1_cds_WP_004041561.1_2673	-0.28129959	-5.237371705	-2.885737488	-2.765283178	-3.617263454	HVO_1671	HVO_RS12735	hypothetical protein		arCOG04661
lcl|NC_013967.1_cds_WP_004044082.1_1887	-2.331041846	-5.256678041	-2.976037016	-2.09245209	-0.73043494	HVO_0855	HVO_RS08795	hypothetical protein		arCOG04672
lcl|NC_013967.1_cds_WP_004042071.1_3158	-1.714609529	-5.329236563	-5.275322948	-2.914723596	-2.818530067	HVO_2179	HVO_RS15185	hypothetical protein		arCOG06309
lcl|NC_013967.1_cds_WP_004062665.1_3218	0.963654707	-5.39008645	-5.595917441	-0.171279695	-5.637631204	HVO_2243	HVO_RS15485	hypothetical protein		arCOG13615
lcl|NC_013967.1_cds_WP_004043998.1_1975	-3.395752648	-5.428811407	-6.470870051	-6.777842071	-7.168742444	HVO_0947	HVO_RS09235	hypothetical protein		arCOG06413
lcl|NC_013967.1_cds_WP_004043629.1_2324	-4.90141395	-5.448464119	-5.637131747	-1.352671287	-0.091861317	HVO_RS11000	HVO_RS11000	hypothetical protein		arCOG01378
lcl|NC_013967.1_cds_WP_004044064.1_1905	-1.40230988	-5.596729605	-3.862261596	-2.446895182	-3.274217551	HVO_0873	HVO_RS08885	hypothetical protein		arCOG06211
lcl|NC_013967.1_cds_WP_081442890.1_3091	1.964041135	-5.699641971	1.085814715	-5.96281838	-5.890660897	HVO_RS20250	HVO_RS20250	hypothetical protein		arCOG10894
lcl|NC_013967.1_cds_WP_004041680.1_2785	-1.359727982	-5.787451337	-1.21769359	-6.059759328	0.777571016	HVO_1795	HVO_RS13325	hypothetical protein		arCOG03909
lcl|NC_013967.1_cds_WP_004044408.1_1573	-2.317486512	-6.606370883	-5.498791814	-3.958861448	-4.817367679	HVO_0515	HVO_RS07195	hypothetical protein		arCOG10374
lcl|NC_013967.1_cds_WP_004042127.1_3213	0.278870503	-6.834693291	-1.818804212	-7.109857153	-1.42142885	HVO_2238	HVO_RS15460	hypothetical protein		arCOG10823
lcl|NC_013967.1_cds_WP_004042623.1_3538	-1.747539269	-6.851233739	-2.539912779	-1.274575596	-7.07906586	HVO_2569	HVO_RS17105	hypothetical protein		arCOG08170
lcl|NC_013967.1_cds_WP_004045285.1_1247	-5.049147691	-6.938012715	-8.130371399	-6.851179603	-5.164680756	HVO_0171	HVO_RS05540	SWIM zinc finger domain-containing protein		arCOG07773
lcl|NC_013967.1_cds_WP_049914768.1_2789	-0.491401467	-7.058654944	-2.723678848	-1.303258124	-1.593064214	HVO_1801	HVO_RS13345	hypothetical protein		arCOG06313
lcl|NC_013967.1_cds_WP_004042076.1_3163	-1.456149405	-7.076855861	-1.830922679	-7.351993779	-2.420546908	HVO_2184	HVO_RS15210	hypothetical protein		arCOG03052
lcl|NC_013966.1_cds_WP_049914676.1_907	0.391469824	-7.305455211	1.197020776	-0.483424056	0.795789424	HVO_A0454	HVO_RS03860	hypothetical protein		arCOG08905
lcl|NC_013967.1_cds_WP_004044886.1_3938	-0.450823129	-7.371875735	-0.463399587	-2.131035473	-1.430915897	HVO_2987	HVO_RS19155	hypothetical protein		
lcl|NC_013966.1_cds_WP_081442873.1_858	-8.560149548	-9.076342844	-4.033876336	-9.352009001	-9.309680089	HVO_A0408A	HVO_RS19985	hypothetical protein		
