Row.names	de00	de02	de04	de08	de24	old	new	prot	gene_name	arcog
lcl|NC_013967.1_cds_WP_004044017.1_1954	4.836012069	6.559373924	6.711170084	4.938381251	5.967322298	HVO_0925	HVO_RS09125	hypothetical protein		
lcl|NC_013966.1_cds_465	NA	6.532993618	6.663513373	NA	NA	HVO_A0004	HVO_RS19715	peptide-methionine (S)-S-oxide reductase		
lcl|NC_013964.1_cds_373	6.583492681	6.532993618	6.663513373	NA	7.332768992	HVO_RS19695	HVO_RS19695	molecular chaperone GroEL		
lcl|NC_013966.1_cds_WP_013035044.1_849	4.415586292	5.382874428	6.369240748	5.850566094	6.629649598	HVO_A0399	HVO_RS03635	hypothetical protein		arCOG08905
lcl|NC_013964.1_cds_WP_004041323.1_299	6.389055223	6.283973928	6.120069528	6.472225216	6.287373447	HVO_B0212	HVO_RS01045	hypothetical protein		arCOG11392
lcl|NC_013967.1_cds_WP_004042773.1_3615	3.731216183	5.595403714	6.106480655	NA	NA	HVO_2649	HVO_RS17490	hypothetical protein		
lcl|NC_013967.1_cds_WP_013035545.1_2647	4.087219837	4.09224663	5.956967997	5.420369222	NA	HVO_1644	HVO_RS12600	hypothetical protein		arCOG08921
lcl|NC_013966.1_cds_WP_013035085.1_722	0.613135584	4.909899804	5.849631957	5.290717931	4.110165862	HVO_A0272	HVO_RS03050	DNA polymerase III subunit delta'	GlcG	arCOG07054
lcl|NC_013966.1_cds_WP_081442868.1_772	6.556062669	4.532230297	5.704079692	6.223468796	6.213329668	HVO_RS19895	HVO_RS19895	hypothetical protein		arCOG14625
lcl|NC_013967.1_cds_WP_081442882.1_1353	5.810000673	5.683666967	5.67495215	5.368873998	4.178931279	HVO_0280A	HVO_RS20110	hypothetical protein		arCOG06428
lcl|NC_013967.1_cds_WP_004041594.1_2705	0.66782721	4.058955981	5.669479053	6.021709089	5.999061032	HVO_1705	HVO_RS12900	iron ABC transporter substrate-binding protein	sfuA	arCOG00227
lcl|NC_013967.1_cds_WP_004044086.1_1883	3.976374709	5.657146241	5.661725656	4.824507978	3.610466722	HVO_0852	HVO_RS08775	ArsR family transcriptional regulator	ArsR	arCOG00394
lcl|NC_013964.1_cds_WP_004041027.1_214	NA	NA	5.64245756	5.050800125	5.207922037	HVO_B0129	HVO_RS00625	hypothetical protein		
lcl|NC_013967.1_cds_WP_004045245.1_1208	-0.05635142	3.005218992	5.549452863	4.781209374	4.151210682	HVO_0133	HVO_RS05345	thermosome subunit 1	cct1	arCOG01257
lcl|NC_013966.1_cds_WP_013035171.1_524	3.538803731	4.856967211	5.370757614	5.055728303	4.085270731	HVO_A0059	HVO_RS02140	hypothetical protein		arCOG08902
lcl|NC_013967.1_cds_WP_004045373.1_1329	NA	4.326798619	5.366623068	4.791068207	5.073139564	HVO_0257	HVO_RS05950	hypothetical protein		arCOG10116
lcl|NC_013967.1_cds_WP_004042587.1_3521	1.686822565	7.260953485	5.2764989	5.388315943	5.053210695	HVO_2550	HVO_RS17010	30S ribosomal protein S14	rps14	arCOG00782
lcl|NC_013968.1_cds_WP_013035711.1_79	4.453782092	5.820584095	5.226229107	NA	4.911176338	HVO_C0086	HVO_RS19620	hypothetical protein		arCOG10754
lcl|NC_013966.1_cds_WP_004043342.1_564	NA	2.701865244	5.140414457	2.78900091	3.465657384	HVO_A0098	HVO_RS02330	transcription initiation factor TFB	tfb12	arCOG09091
lcl|NC_013967.1_cds_WP_004042567.1_3516	0.743841603	6.634083587	5.090824442	4.271477676	3.580821807	HVO_2545	HVO_RS16985	50S ribosomal protein L18	rpl18	arCOG04088
