ap0_quant	a00_quant	a02_quant	a04_quant	a08_quant	a24_quant	bp0_quant	b00_quant	b02_quant	b04_quant	b08_quant	b24_quant
ap0_quant	1	0.998368222065251	0.96303732210518	0.969768838987799	0.971843345845107	0.928199081571664	0.996764830474942	0.99609294166029	0.964269028048268	0.967618108108224	0.963459303310993	0.873420784830082
a00_quant	0.998368222065251	1	0.96809722514971	0.974290672966588	0.975712942786272	0.927934896689932	0.993026669944093	0.993983286185853	0.969867050607586	0.971070404461977	0.968099003897288	0.869260844271879
a02_quant	0.96303732210518	0.96809722514971	1	0.994040561795252	0.981130128675521	0.922128181399016	0.953441286194508	0.960896592551593	0.999002616258872	0.988726885299008	0.976504968066267	0.852900039614735
a04_quant	0.969768838987799	0.974290672966588	0.994040561795252	1	0.992089116773909	0.943807507743652	0.963605562092224	0.970439635704378	0.993593172139071	0.997430893942416	0.988799630360546	0.880167250139108
a08_quant	0.971843345845107	0.975712942786272	0.981130128675521	0.992089116773909	1	0.974816416868934	0.972744592206977	0.979225794914257	0.980003001075324	0.996001207678156	0.998764305875772	0.92663685776207
a24_quant	0.928199081571664	0.927934896689932	0.922128181399016	0.943807507743652	0.974816416868934	1	0.94513125072489	0.951346241567045	0.91759701389061	0.960796406198093	0.977569086643049	0.985378452110147
bp0_quant	0.996764830474942	0.993026669944093	0.953441286194508	0.963605562092224	0.972744592206977	0.94513125072489	1	0.999098128090077	0.953225311390348	0.966102947576826	0.965462014259261	0.902086229900718
b00_quant	0.99609294166029	0.993983286185853	0.960896592551593	0.970439635704378	0.979225794914257	0.951346241567045	0.999098128090077	1	0.960322144008583	0.973363119874008	0.972999922266521	0.906878701797086
b02_quant	0.964269028048268	0.969867050607586	0.999002616258872	0.993593172139071	0.980003001075324	0.91759701389061	0.953225311390348	0.960322144008583	1	0.987037710305464	0.975596990740807	0.846258505018497
b04_quant	0.967618108108224	0.971070404461977	0.988726885299008	0.997430893942416	0.996001207678156	0.960796406198093	0.966102947576826	0.973363119874008	0.987037710305464	1	0.994522893448826	0.90521495307191
b08_quant	0.963459303310993	0.968099003897288	0.976504968066267	0.988799630360546	0.998764305875772	0.977569086643049	0.965462014259261	0.972999922266521	0.975596990740807	0.994522893448826	1	0.931475683118334
b24_quant	0.873420784830082	0.869260844271879	0.852900039614735	0.880167250139108	0.92663685776207	0.985378452110147	0.902086229900718	0.906878701797086	0.846258505018497	0.90521495307191	0.931475683118334	1
