	shaking_mean	t04_mean	theta	prob	log2FC	length	P	locus_tag
HVO_RS00390	85.3540652305743	3.1753284070262	0.907136905578051	0.977074161205609	4.74848215250025	1031	0.0229258387943914	HVO_RS00390
HVO_RS01805	532.090796293694	33.978163801823	0.998467599490537	0.98451948589944	3.96899265335489	737	0.0154805141005598	HVO_RS01805
HVO_RS01800	1706.22935146905	1920.64520812334	-0.0721264234393863	0.00931848625144183	-0.170779454395354	194	0.990681513748558	HVO_RS01800
HVO_RS01295	113.732458879356	31.9330613643759	0.416925797246131	0.747017558409156	1.83252128034406	1307	0.252982441590844	HVO_RS01295
HVO_RS01105	30.7370534369034	5.12668954250753	0.427588237523605	0.759017582999905	2.58387942973377	410	0.240982417000095	HVO_RS01105
HVO_RS00980	842.749209633491	31.8029405062837	1.08347326538209	0.97682603028397	4.72787130052519	422	0.0231739697160297	HVO_RS00980
HVO_RS03945	900.678168611213	401.913905007285	0.498053920083976	0.836986661067517	1.16412520146716	584	0.163013338932483	HVO_RS03945
HVO_RS03970	245.545723994272	36.0375741028973	0.640960099722415	0.940339796667631	2.76841789583163	1190	0.0596602033323692	HVO_RS03970
HVO_RS04250	171.621685520976	5.64775161739004	0.922957087555059	0.979246108658008	4.9254114063892	1217	0.0207538913419925	HVO_RS04250
HVO_RS04680	12.2563962861726	52.4142890265254	-0.440457266167272	0.62443074409024	-2.09642531878358	431	0.37556925590976	HVO_RS04680
HVO_RS02705	12.0881162456302	4.27285897955447	0.270171109283448	0.521629669526652	1.50031583084475	437	0.478370330473348	HVO_RS02705
HVO_RS02765	134.625265100123	145.438753202711	-0.0332232944142825	0.000576447227011667	-0.111462551275515	1022	0.999423552772988	HVO_RS02765
HVO_RS03020	236.378657633944	23.687865715228	0.762727285663589	0.966026654298601	3.31887965983352	767	0.0339733457013985	HVO_RS03020
HVO_RS03045	100.778701662841	1.99031951557094	1.05360596103191	0.981110965662905	5.66204691286142	1436	0.0188890343370953	HVO_RS03045
HVO_RS03505	72.2416045344261	63.6325702512905	0.0361741018846486	0.0569353121714143	0.183064540190883	494	0.943064687828586	HVO_RS03505
HVO_RS03525	219.600515606728	5.93610804649866	1.02717998237356	0.983505122415761	5.20922027995385	1103	0.0164948775842393	HVO_RS03525
HVO_RS02300	240.818433177153	79.8629553075322	0.394133306889108	0.720631893576012	1.59234746117998	740	0.279368106423988	HVO_RS02300
HVO_RS02080	125.881559158357	72.3963717835029	0.165830927010497	0.296865404594652	0.798077650828974	572	0.703134595405348	HVO_RS02080
HVO_RS02060	37.0217462920884	43.7566381576351	-0.045932620462485	0	-0.241128951658042	1040	1	HVO_RS02060
HVO_RS02050	18.6048152210828	15.1988055264652	0.0531075083710763	0.0815722677387568	0.291718115229382	980	0.918427732261243	HVO_RS02050
HVO_RS02405	1326.11184135913	357.347433862551	0.5550456255224	0.892571375263064	1.89180312098467	284	0.107428624736936	HVO_RS02405
HVO_RS03700	1894.12099194278	836.851047777545	0.398802032224567	0.726157252543196	1.17848572613264	284	0.273842747456804	HVO_RS03700
HVO_RS02975	13.3676861133846	24.466308921046	-0.161042189792784	0.138209669247203	-0.872046704469198	1385	0.861790330752797	HVO_RS02975
HVO_RS02980	219.436985873293	627.490254503493	-0.459967887996888	0.648386136398358	-1.51578634189779	323	0.351613863601642	HVO_RS02980
HVO_RS03050	720.604561205766	40.2772154864656	1.49778912051649	0.981874585796182	4.16117193057342	443	0.0181254142038176	HVO_RS03050
HVO_RS01895	12.4445910982089	5.26080032050294	0.203086965611955	0.378649339539356	1.24216463018558	1352	0.621350660460644	HVO_RS01895
HVO_RS02410	39.0607751507427	87.4819326701685	-0.233622925199613	0.292443790770244	-1.16326451366544	683	0.707556209229756	HVO_RS02410
HVO_RS19875	22.500097871047	2.08010998155988	0.828316642511372	0.96942188524492	3.4351995618541	1340	0.0305781147550802	HVO_RS19875
HVO_RS03495	1065.73299170203	57.772119571841	0.945589312596612	0.981926223453174	4.20532879497934	284	0.0180737765468257	HVO_RS03495
HVO_RS20065	180.968510226116	497.839150941055	-0.422184822162449	0.601320719187109	-1.45994101061999	485	0.398679280812891	HVO_RS20065
HVO_RS20150	100.101463931307	190.708241258984	-0.230554662817913	0.286294203803403	-0.929904116583642	1115	0.713705796196597	HVO_RS20150
HVO_RS20155	79.3953003712615	148.822847000836	-0.19690116047966	0.215505439153343	-0.906470505376471	914	0.784494560846657	HVO_RS20155
HVO_RS12045	28.6504099663484	30.0910417742695	-0.0130209336983923	0.0081511757247904	-0.0707782716747591	941	0.99184882427521	HVO_RS12045
HVO_RS12620	128.534575108217	3.96818827435543	0.896048525631422	0.975529585575122	5.01753220124544	557	0.0244704144248783	HVO_RS12620
HVO_RS13065	182.658434462442	214.855855968787	-0.0576114348312041	0.00239868762394868	-0.23422072545327	368	0.997601312376051	HVO_RS13065
HVO_RS13570	136.302747260745	18.0165921808585	0.589192502916256	0.917125992454792	2.91941658294481	1799	0.0828740075452082	HVO_RS13570
HVO_RS13900	32.2016279343263	11.1715688248907	0.441380809102166	0.774414415639899	1.52730182687748	1568	0.225585584360101	HVO_RS13900
HVO_RS14410	12.8891420997734	6.31822995392758	0.182850278550098	0.334041346464986	1.02856389074931	803	0.665958653535014	HVO_RS14410
HVO_RS14555	215.857244585012	588.149682214904	-0.451712837499018	0.638349423388324	-1.44610584983148	1079	0.361650576611676	HVO_RS14555
HVO_RS20240	116.708167455295	304.291410777756	-0.362738109470185	0.518642414241416	-1.38254808445969	1418	0.481357585758584	HVO_RS20240
HVO_RS15595	54.447198467183	78.6636191597935	-0.106139214153978	0.0423760383745437	-0.530838745150025	1157	0.957623961625456	HVO_RS15595
HVO_RS15620	83.7618646965807	20.2941546120154	0.376296315691569	0.698645194454311	2.04522931639101	500	0.301354805545689	HVO_RS15620
HVO_RS16300	176.470874015535	93.6523473765685	0.201645642503411	0.375472127180333	0.914043029802791	416	0.624527872819667	HVO_RS16300
HVO_RS16580	419.15352837929	52.7418759804559	0.715125342299904	0.958504884433688	2.99045798132953	869	0.0414951155663117	HVO_RS16580
HVO_RS16585	318.515242459454	36.8848385120494	0.712191668551519	0.95791667467791	3.11026258948549	1145	0.0420833253220896	HVO_RS16585
HVO_RS17290	5.71447942754067	11.9418384203772	-0.205902111081287	0.234938274194584	-1.06333096928833	1220	0.765061725805416	HVO_RS17290
HVO_RS18275	3418.04475040772	9146.57074530713	-0.860475004868221	0.837347406690086	-1.42005966053504	218	0.162652593309914	HVO_RS18275
HVO_RS11115	386.294543041793	247.450355709168	0.170878027183311	0.307828932680084	0.642562181524178	389	0.692171067319916	HVO_RS11115
HVO_RS10905	278.769584204006	38.735527099299	0.631817082253986	0.937234893468402	2.84734388463467	731	0.0627651065315983	HVO_RS10905
HVO_RS10150	11.6132789606602	19.5154868916551	-0.134980248876794	0.0873675488327058	-0.748844088387553	2273	0.912632451167294	HVO_RS10150
HVO_RS09760	549.852495645453	19.2574328684942	1.06248309389563	0.980002755196541	4.83555734954861	680	0.0199972448034589	HVO_RS09760
HVO_RS06910	107.641203019091	402.045870487026	-0.497907670716125	0.691432921691997	-1.90112969170234	206	0.308567078308003	HVO_RS06910
HVO_RS06800	3351.28342492196	2769.60259200913	0.27141898741077	0.524141826715698	0.275034723380765	164	0.475858173284302	HVO_RS06800
HVO_RS06545	16.6303650105481	23.9100637722129	-0.0887038144778615	0.0225325053576053	-0.523798144091647	233	0.977467494642395	HVO_RS06545
HVO_RS06285	296.434466532627	302.43617089841	-0.0123333949229851	0.00854784215741722	-0.028917493952271	938	0.991452157842583	HVO_RS06285
HVO_RS04825	483.630462169167	204.804256565844	0.396904967490231	0.723921523040986	1.23965941767902	860	0.276078476959014	HVO_RS04825
HVO_RS04920	26.0804217908053	15.3816216636092	0.171675197586505	0.30956606325308	0.761759589320997	1043	0.69043393674692	HVO_RS04920
HVO_RS04925	326.362498853847	5.79832988914725	1.11124281605142	0.971722701898564	5.81469406551749	875	0.0282772981014358	HVO_RS04925
HVO_RS04930	1154.1906130627	288.89802323612	0.629581911325751	0.936423365693606	1.9982492653372	179	0.0635766343063938	HVO_RS04930
HVO_RS04940	43.9871562428733	20.5767516203316	0.290323702091709	0.561242317376217	1.09606708744221	1217	0.438757682623783	HVO_RS04940
HVO_RS05635	392.215195291405	332.802679140183	0.0647232212580001	0.100137390172178	0.236978382274631	269	0.899862609827822	HVO_RS05635
HVO_RS05640	95.2927334008561	77.6153167008147	0.0608629442165659	0.0938350654401556	0.29602482113704	407	0.906164934559844	HVO_RS05640
HVO_RS20265	196.037311321081	131.667362710971	0.193476660873103	0.357452557550542	0.574230486003942	1232	0.642547442449458	HVO_RS20265
HVO_RS12745	61.4003813779301	57.1686176050656	0.0204075069007832	0.0371725923774635	0.103024211806184	650	0.962827407622536	HVO_RS12745
HVO_RS20390	31.753276146289	23.2453815282971	0.0823324963414196	0.130345692617011	0.449961344597149	2507	0.869654307382989	HVO_RS20390
HVO_RS19435	72.8597461028308	183.191381197347	-0.291768044762005	0.400196079619819	-1.33015775621365	1166	0.599803920380181	HVO_RS19435
HVO_RS19465	49.9535597654909	28.0865245523089	0.156221300095987	0.276184173317117	0.830709374952424	1154	0.723815826682883	HVO_RS19465
HVO_RS19470	303.782752672067	23.6372822212564	0.835185906117049	0.969703088227905	3.68390389157603	554	0.0302969117720946	HVO_RS19470
HVO_RS19545	71.7812196151006	5.50212367671263	0.771538710721309	0.966873600648703	3.70554596177547	1190	0.0331263993512971	HVO_RS19545
HVO_RS19360	393.766764107754	23.8513421481912	0.906117176507733	0.976931278497256	4.04519898958821	899	0.0230687215027439	HVO_RS19360
