	X00_mean	X24_mean	theta	prob	log2FC	length
lcl|NC_013967.1_cds_WP_004044952.1_3964	552.673248238673	764.341517030778	-0.964600613448937	0.990811784095479	-0.467790614301559	641
lcl|NC_013967.1_cds_WP_004044951.1_3963	515.603968571006	1153.79762776942	-1.91323163292563	0.9999999999955	-1.16205492911826	392
lcl|NC_013967.1_cds_WP_013035500.1_3962	17.6354100050427	54.1697000147312	-0.921699022108443	0.98702037672685	-1.61901098403824	992
lcl|NC_013967.1_cds_WP_004044943.1_3961	26.470965701701	18.1672820686522	0.271086294506195	0.834539381271803	0.54306822741231	2576
lcl|NC_013967.1_cds_WP_004044927.1_3959	95.4653282250498	67.2492856921546	0.321314365775805	0.872691995424806	0.505457916312273	605
lcl|NC_013967.1_cds_WP_004044925.1_3958	126.543766820437	610.873321009741	-1.70632228132451	0.99938971967267	-2.27123678800028	914
lcl|NC_013967.1_cds_WP_004044915.1_3954	427.363634758163	283.908035981553	0.424823863050037	0.92845373110593	0.5900404664185	275
lcl|NC_013967.1_cds_WP_004044914.1_3953	5.29361362550598	5.50014559640912	-0.0203867368266552	0.0206027702100674	-0.0552169111627227	980
lcl|NC_013967.1_cds_WP_004044911.1_3952	2.09220223836916	3.79240352426924	-0.259709143057884	0.832102069989345	-0.858090166489334	923
lcl|NC_013967.1_cds_WP_004044909.1_3951	0.920010798482485	1.10572733774489	-0.090585812289743	0.308537949601921	-0.26527297422913	2099
lcl|NC_013967.1_cds_WP_013035280.1_3947	12.3724920421473	4.66852062456485	0.518212985742375	0.952499551749925	1.40609875253549	1160
lcl|NC_013967.1_cds_WP_004044900.1_3946	28021.3933845273	32204.8689312773	-0.448297368585001	0.945861024948445	-0.200750123757954	389
lcl|NC_013967.1_cds_3945	7.83151157206887	5.07866020224286	0.220847569451967	0.774839461428719	0.624842840344301	909
lcl|NC_013967.1_cds_WP_004044895.1_3943	143.407443777619	181.417189525703	-0.225598016675968	0.779793289662415	-0.339191248437427	368
lcl|NC_013967.1_cds_WP_004044893.1_3942	54.083346723259	12.3235888012983	0.601652967281981	0.96141869709608	2.13376197939375	251
lcl|NC_013967.1_cds_WP_004044889.1_3940	6.63485827347898	7.0573019340192	-0.0326352805781868	0.0530532374827323	-0.0890510857688846	1364
lcl|NC_013967.1_cds_WP_004044886.1_3938	54.303071474669	27.376533305481	0.239744200742147	0.800510798070393	0.988094032165989	188
lcl|NC_013967.1_cds_3937	527.390001572777	166.309156490016	1.57908068898523	0.999577455103176	1.66500261905913	318
lcl|NC_013967.1_cds_WP_004044873.1_3936	19.587211937278	22.2426667638085	-0.075352561471443	0.237989650552172	-0.183417711399524	593
lcl|NC_013967.1_cds_WP_004044866.1_3932	955.931473552457	1105.20260569623	-0.390069579296609	0.927379141099007	-0.209331761980036	203
lcl|NC_013967.1_cds_WP_004044864.1_3931	23.8617530433394	43.0278889475354	-0.373161462785105	0.918319271376311	-0.850572022993715	680
lcl|NC_013967.1_cds_WP_004044862.1_3930	0.648467669124483	31.5160944896871	-2.71392276562287	1	-5.60291030790597	233
lcl|NC_013967.1_cds_WP_004044860.1_3929	NA	NA	NA	NA	NA	1325
lcl|NC_013967.1_cds_WP_004044859.1_3928	122.103328968468	99.9180067044011	0.157638090333512	0.609172798590951	0.289285932258729	296
lcl|NC_013967.1_cds_WP_004044857.1_3927	4.71872955982393	11.1975405274364	-0.498750539030339	0.955592032780516	-1.2467114926599	965
lcl|NC_013967.1_cds_WP_004044855.1_3926	9.54938270809109	24.0225182152108	-0.530686596032773	0.958229307755489	-1.33090801029114	1823
lcl|NC_013967.1_cds_WP_004044843.1_3923	31.0271612021284	0.386820280321088	3.10558992544142	0.999999999999998	6.32572445998204	209
lcl|NC_013967.1_cds_WP_004044837.1_3919	3.09039397517625	2.1356124163915	0.168271691124176	0.643284032610317	0.533140928175738	1259
lcl|NC_013967.1_cds_WP_049914907.1_3918	41.4027537590225	25.886416922158	0.271526280848367	0.834969852168808	0.677531438822362	584
lcl|NC_013967.1_cds_WP_004044834.1_3916	57.5117174992267	67.4563637552467	-0.154805092975292	0.601894719162002	-0.230098629528403	665
lcl|NC_013967.1_cds_WP_004044830.1_3913	14706.2144167604	760.558483510606	8.1755257921729	1	4.27322292553071	191
lcl|NC_013967.1_cds_WP_004044828.1_3912	89.5175863795517	21.3410108590728	0.843068974567772	0.983538051718781	2.06854262425592	416
lcl|NC_013967.1_cds_WP_004044826.1_3911	39.4272546784185	62.3360501460034	-0.275324806094051	0.84911832955914	-0.660873484084065	212
lcl|NC_013967.1_cds_WP_004044823.1_3909	36.7772005093503	27.6667924319154	0.213416591413318	0.761657319710669	0.41065627175644	1565
lcl|NC_013967.1_cds_WP_004044820.1_3908	20.9061654455356	13.8050725953774	0.207833174028036	0.750191334020988	0.598729996317376	983
lcl|NC_013967.1_cds_WP_004044818.1_3907	60.6408939544482	48.6893110259292	0.160011488601059	0.61708641682446	0.316685935537699	1106
lcl|NC_013967.1_cds_WP_004044808.1_3904	25.9827078153138	42.2429301427595	-0.369856603503189	0.916742751503324	-0.701158118800849	650
lcl|NC_013967.1_cds_WP_004044805.1_3902	3.16784887562679	4.14459914967037	-0.117467576218121	0.434821437736036	-0.387729064013143	1019
lcl|NC_013967.1_cds_WP_004044803.1_3901	6.11246991536094	7.76603971696248	-0.142038263926447	0.54988956673241	-0.34542362611563	1589
lcl|NC_013967.1_cds_WP_004044797.1_3898	12.9398457026682	17.5306456449764	-0.202796870766956	0.73596343669579	-0.438058716371944	1499
lcl|NC_013967.1_cds_WP_004044789.1_3895	14.9177877155068	10.8132525932018	0.217924330045536	0.769881858793266	0.464233055452638	2612
lcl|NC_013967.1_cds_WP_004044786.1_3893	7.9770420447958	9.89366090868796	-0.148380143806635	0.576775437901053	-0.310650572014766	1055
lcl|NC_013967.1_cds_WP_004044777.1_3890	61.3965037109675	29.4978613278712	0.53333567416022	0.957410088465221	1.05754614303428	890
lcl|NC_013967.1_cds_WP_004044773.1_3888	94.8695601892773	53.3545214235983	0.495999520410287	0.943178593457632	0.8303347243423	377
lcl|NC_013967.1_cds_WP_004044769.1_3886	49.3357840379204	135.335194372503	-0.848810199184197	0.983618258735986	-1.45583072449107	392
lcl|NC_013967.1_cds_WP_004044767.1_3885	10.7780901644865	12.174570177076	-0.0563769329723008	0.148654472943754	-0.175769278084911	599
lcl|NC_013967.1_cds_WP_004044765.1_3884	15.2558994943377	20.2652249140203	-0.173430703728054	0.663706348233125	-0.409638942915594	1313
lcl|NC_013967.1_cds_WP_004044763.1_3883	12.6664089714328	9.70157950735289	0.157929551877493	0.61014720466152	0.384716011125857	719
lcl|NC_013967.1_cds_3882	15.7674129504216	8.39658960937961	0.320722178508179	0.872367166328811	0.909070586830147	1157
lcl|NC_013967.1_cds_WP_004044756.1_3880	55.2188616961012	60.483738274489	-0.0740137885692511	0.231719863294352	-0.131386161984645	749
lcl|NC_013967.1_cds_WP_004044752.1_3878	19.6737971413594	15.9360421654129	0.133361499549634	0.519010932071634	0.303982062085437	920
lcl|NC_013967.1_cds_WP_004044748.1_3876	0.648467669124483	6.24914713057305	-0.710046562997913	0.972697769998896	-3.26855275502237	584
lcl|NC_013967.1_cds_WP_004044747.1_3875	4.56269942407825	3.85056268857373	0.0781690086967529	0.261746740524063	0.244818332387379	998
lcl|NC_013967.1_cds_WP_004044740.1_3872	540.148858968795	445.773667990998	0.372916979680471	0.90239947374318	0.277045654042379	290
lcl|NC_013967.1_cds_WP_004044738.1_3871	30.1908718501191	25.6057502582374	0.0710055395288524	0.223941848121148	0.237644588290335	422
lcl|NC_013967.1_cds_WP_004044731.1_3868	5.78801881517164	6.89086343076124	-0.0983023146481213	0.34408723824313	-0.251615153450658	1454
lcl|NC_013967.1_cds_WP_004044729.1_3867	1.70425143002492	0.706872695835053	0.379684852679671	0.907430234448403	1.26961587207171	761
lcl|NC_013967.1_cds_WP_004044727.1_3866	1.25988668132618	5.64499587584734	-0.634337664097824	0.973032489146913	-2.16367854853167	683
lcl|NC_013967.1_cds_WP_004044724.1_3864	48.2176694714444	76.2688033342232	-0.318238816168647	0.888386883617777	-0.661531141764146	587
lcl|NC_013967.1_cds_WP_004044723.1_3863	4.67013945831859	6.56366934038981	-0.168449361452582	0.648800948051569	-0.491036929764373	827
lcl|NC_013967.1_cds_WP_004044720.1_3860	43.9719772147568	22.068215653979	0.411096505551113	0.924699642770441	0.994614421388073	527
lcl|NC_013967.1_cds_WP_004044718.1_3858	108.310404309877	107.185943048559	0.0106039007660046	0.00691726428939821	0.0150561197798621	1409
lcl|NC_013967.1_cds_WP_004044717.1_3857	478.119872413364	237.450512820893	1.13617404941208	0.984311236358688	1.00974549864049	263
lcl|NC_013967.1_cds_WP_004044714.1_3854	6.41124323467446	8.47809974530337	-0.126871649975393	0.480093431523231	-0.40313679604756	917
lcl|NC_013967.1_cds_WP_013035286.1_3960	872.424166294216	390.160823485455	1.3699982390811	0.984025832158662	1.16096081093803	389
lcl|NC_013967.1_cds_WP_004044713.1_3853	3.24366403085769	3.06961316988203	0.027464247399188	0.0408632697054054	0.0795675373892663	1004
lcl|NC_013967.1_cds_WP_004044710.1_3850	3.39049022272	9.34742786243613	-0.493005145192931	0.954887597420784	-1.46307554811036	578
lcl|NC_013967.1_cds_WP_004044709.1_3849	6.67701311322712	15.8802360949362	-0.41478010931979	0.939266194648265	-1.24995758279519	587
lcl|NC_013967.1_cds_WP_004044704.1_3845	1.06045407869907	2.84141227545889	-0.61805659496051	0.970177277407332	-1.42192602635559	1223
lcl|NC_013967.1_cds_WP_004044703.1_3844	27.7155410593432	42.7430875975679	-0.317039845641519	0.887382418925365	-0.624995954534466	443
lcl|NC_013967.1_cds_WP_013035604.1_3843	2.49742230596712	2.3731305541171	0.0279350108219158	0.0421271059453004	0.0736483265632802	1304
lcl|NC_013967.1_cds_WP_004044701.1_3842	0.959271699888288	1.72602980912254	-0.280786825094775	0.85430998947355	-0.847445979746727	1352
lcl|NC_013967.1_cds_WP_013035546.1_3840	83.8254824777806	106.238851916398	-0.212406816069809	0.755365264122438	-0.341850674280295	722
lcl|NC_013967.1_cds_WP_004044698.1_3839	1438.31662827051	564.339793916576	1.78838481092129	0.999999999776651	1.34974531423112	722
lcl|NC_013967.1_cds_WP_004044696.1_3837	167.88657690443	222.961994385445	-0.264523203481899	0.837773130119719	-0.40931092588414	200
lcl|NC_013967.1_cds_WP_004044690.1_3831	2.38703174516306	2.50774898101191	-0.0177382111882829	0.0155219465757902	-0.0711751924737266	617
lcl|NC_013967.1_cds_WP_004044689.1_3830	22.5854110187599	17.3415827490955	0.165366804403008	0.63421119557819	0.381155590864748	980
lcl|NC_013967.1_cds_WP_004044688.1_3829	5.63445592062236	10.7009534100404	-0.378462263737187	0.921005362437627	-0.92539112900097	1376
lcl|NC_013967.1_cds_WP_004044681.1_3823	10.134318796221	10.3676881161163	-0.0136016516091945	0.008981688323902	-0.032845106725049	893
lcl|NC_013967.1_cds_WP_004044680.1_3822	37.5837130751304	25.7888038878507	0.286028897067025	0.848303102829691	0.543362743607505	569
lcl|NC_013967.1_cds_WP_004044677.1_3819	306.608414714669	133.082615672552	0.935446207245683	0.983559347497837	1.20407516451941	827
lcl|NC_013967.1_cds_WP_049914905.1_3817	20.445684568083	14.252661240982	0.250821364947285	0.813063625271282	0.520565045552981	1139
lcl|NC_013967.1_cds_WP_004044671.1_3813	122.359624844455	96.5448656677574	0.218315558918779	0.770543107711036	0.341856146035152	485
lcl|NC_013967.1_cds_WP_004044669.1_3811	267.536353102395	92.3373238405249	1.25330298399122	0.990726395958337	1.53474911434628	449
lcl|NC_013967.1_cds_WP_004044705.1_3846	9.02150628102487	9.99774081047926	-0.0579028265099261	0.155682015492123	-0.148233791906972	1658
lcl|NC_013967.1_cds_WP_004044664.1_3806	6.45562637256827	4.43796534464696	0.227098844558741	0.784308691689229	0.540658681449311	2009
lcl|NC_013967.1_cds_WP_004044663.1_3805	9.51887232794395	8.42427394861088	0.0587726631592619	0.162204770623381	0.176238319865883	548
lcl|NC_013967.1_cds_WP_004044661.1_3803	19.5925290950742	18.7150999923682	0.0237335962104362	0.0310724030070691	0.0661008830415181	431
lcl|NC_013967.1_cds_WP_004044660.1_3802	7.07944431557119	1.13368585849673	0.770472365497162	0.976299093250034	2.64261519529257	1376
lcl|NC_013967.1_cds_WP_004044658.1_3800	3.52415779707121	2.81750241153765	0.125593468913915	0.487074557018403	0.322861678344782	1652
lcl|NC_013967.1_cds_WP_004044657.1_3799	59.1086916228134	106.20365620716	-0.477924661892297	0.952077876465819	-0.845391241914671	353
lcl|NC_013967.1_cds_WP_004044656.1_3798	10.2209528181901	22.7102911607313	-0.361241538023446	0.912957675704293	-1.15181650891778	578
lcl|NC_013967.1_cds_WP_004044655.1_3797	5.68865804602029	13.3429774948286	-0.349957035255763	0.908226029610299	-1.22992037472792	461
