ID	Gene Name	Species	EC_NUMBER	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OFFICIAL_GENE_SYMBOL	PFAM	PIR_SUPERFAMILY	SMART	UP_KEYWORDS
8919164	(2Fe-2S)-binding protein(HVO_RS00790)	Haloferax volcanii DS2				GO:0016491~oxidoreductase activity,GO:0051537~2 iron, 2 sulfur cluster binding	IPR017941:Rieske [2Fe-2S] iron-sulphur domain		HVO_RS00790	PF00355:Rieske [2Fe-2S] domain			Complete proteome,Plasmid,Reference proteome,
8923804	(2Fe-2S)-binding protein(HVO_RS02250)	Haloferax volcanii DS2				GO:0016491~oxidoreductase activity,GO:0051537~2 iron, 2 sulfur cluster binding	IPR017941:Rieske [2Fe-2S] iron-sulphur domain	hvo00910:Nitrogen metabolism,hvo01120:Microbial metabolism in diverse environments	HVO_RS02250	PF00355:Rieske [2Fe-2S] domain			Complete proteome,Plasmid,Reference proteome,
8926866	(2Fe-2S)-binding protein(HVO_RS08100)	Haloferax volcanii DS2				GO:0016491~oxidoreductase activity,GO:0051537~2 iron, 2 sulfur cluster binding	IPR017941:Rieske [2Fe-2S] iron-sulphur domain		HVO_RS08100	PF00355:Rieske [2Fe-2S] domain			Complete proteome,Reference proteome,
8926752	(2Fe-2S)-binding protein(HVO_RS09105)	Haloferax volcanii DS2				GO:0016491~oxidoreductase activity,GO:0051537~2 iron, 2 sulfur cluster binding	IPR017941:Rieske [2Fe-2S] iron-sulphur domain		HVO_RS09105	PF00355:Rieske [2Fe-2S] domain			Complete proteome,Reference proteome,
8926024	(2Fe-2S)-binding protein(HVO_RS10695)	Haloferax volcanii DS2				GO:0009055~electron carrier activity,GO:0051536~iron-sulfur cluster binding	IPR001041:2Fe-2S ferredoxin-type domain,IPR012675:Beta-grasp domain		HVO_RS10695	PF00111:2Fe-2S iron-sulfur cluster binding domain			Complete proteome,Reference proteome,
8925334	(2Fe-2S)-binding protein(HVO_RS11855)	Haloferax volcanii DS2				GO:0009055~electron carrier activity,GO:0051536~iron-sulfur cluster binding	IPR001041:2Fe-2S ferredoxin-type domain,IPR012675:Beta-grasp domain		HVO_RS11855	PF00111:2Fe-2S iron-sulfur cluster binding domain			Complete proteome,Reference proteome,
8925745	(2Fe-2S)-binding protein(HVO_RS12980)	Haloferax volcanii DS2				GO:0009055~electron carrier activity,GO:0051536~iron-sulfur cluster binding	IPR001041:2Fe-2S ferredoxin-type domain,IPR012675:Beta-grasp domain		HVO_RS12980	PF00111:2Fe-2S iron-sulfur cluster binding domain			Complete proteome,Reference proteome,
8926589	(2Fe-2S)-binding protein(HVO_RS13495)	Haloferax volcanii DS2		GO:0022900~electron transport chain		GO:0009055~electron carrier activity,GO:0051537~2 iron, 2 sulfur cluster binding	IPR001041:2Fe-2S ferredoxin-type domain,IPR010241:Ferredoxin [2Fe-2S], plant,IPR012675:Beta-grasp domain		HVO_RS13495	PF00111:2Fe-2S iron-sulfur cluster binding domain			Complete proteome,Reference proteome,
8924640	(4Fe-4S)-binding protein(HVO_RS09405)	Haloferax volcanii DS2	1.6.5.-		GO:0016020~membrane	GO:0016651~oxidoreductase activity, acting on NAD(P)H,GO:0051539~4 iron, 4 sulfur cluster binding	IPR010226:NADH-quinone oxidoreductase, chain I,IPR017896:4Fe-4S ferredoxin-type, iron-sulpur binding domain,IPR017900:4Fe-4S ferredoxin, iron-sulphur binding, conserved site	hvo00190:Oxidative phosphorylation,hvo01100:Metabolic pathways	HVO_RS09405	PF12838:4Fe-4S dicluster domain			Complete proteome,Oxidoreductase,Reference proteome,
8925369	1,4-dihydroxy-2-naphthoate polyprenyltransferase(HVO_RS11755)	Haloferax volcanii DS2	2.5.1.74	GO:0009234~menaquinone biosynthetic process	GO:0005887~integral component of plasma membrane	GO:0046428~1,4-dihydroxy-2-naphthoate octaprenyltransferase activity	IPR000537:UbiA prenyltransferase family,IPR004657:1,4-dihydroxy-2-naphthoate octaprenyltransferase	hvo00130:Ubiquinone and other terpenoid-quinone biosynthesis,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites	HVO_RS11755	PF01040:UbiA prenyltransferase family			Cell membrane,Complete proteome,Membrane,Menaquinone biosynthesis,Reference proteome,Transferase,Transmembrane,Transmembrane helix,
8926445	1,4-dihydroxy-2-naphthoyl-CoA synthase(HVO_RS11770)	Haloferax volcanii DS2	4.1.3.36	GO:0009234~menaquinone biosynthetic process		GO:0008935~1,4-dihydroxy-2-naphthoyl-CoA synthase activity	IPR001753:Crotonase superfamily,IPR010198:Naphthoate synthase,IPR014748:Crontonase, C-terminal	hvo00130:Ubiquinone and other terpenoid-quinone biosynthesis,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites	HVO_RS11770	PF00378:Enoyl-CoA hydratase/isomerase family			Complete proteome,Lyase,Menaquinone biosynthesis,Reference proteome,
8924932	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase(HVO_RS19160)	Haloferax volcanii DS2	5.3.1.16	GO:0000105~histidine biosynthetic process	GO:0005737~cytoplasm	GO:0003949~1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	IPR006062:Histidine biosynthesis,IPR006063:Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase HisA,IPR011060:Ribulose-phosphate binding barrel,IPR013785:Aldolase-type TIM barrel,IPR023016:Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	hvo00340:Histidine metabolism,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites,hvo01230:Biosynthesis of amino acids	HVO_RS19160	PF00977:Histidine biosynthesis protein			Amino-acid biosynthesis,Complete proteome,Cytoplasm,Histidine biosynthesis,Isomerase,Reference proteome,
8926637	1-phosphofructokinase(HVO_RS11940)	Haloferax volcanii DS2	2.7.1.56			GO:0005524~ATP binding,GO:0008662~1-phosphofructokinase activity	IPR002173:Carbohydrate/puine kinase, PfkB, conserved site,IPR011611:Carbohydrate kinase PfkB,IPR017583:Tagatose/fructose phosphokinase	hvo00051:Fructose and mannose metabolism	HVO_RS11940	PF00294:pfkB family carbohydrate kinase	PIRSF000535:ketohexose monophosphate kinase, 1FPK/6PFK/LacC type		ATP-binding,Complete proteome,Kinase,Nucleotide-binding,Reference proteome,Transferase,
8923816	11-domain light and oxygen sensing his kinase(HVO_RS04305)	Haloferax volcanii DS2			GO:0005622~intracellular	GO:0000155~phosphorelay sensor kinase activity	IPR000014:PAS domain,IPR000700:PAS-associated, C-terminal,IPR001789:Signal transduction response regulator, receiver domain,IPR003594:Histidine kinase-like ATPase, ATP-binding domain,IPR003661:Signal transduction histidine kinase, subgroup 1, dimerisation/phosphoacceptor domain,IPR005467:Signal transduction histidine kinase, core,IPR011006:CheY-like superfamily,IPR013656:PAS fold-4		HVO_RS04305	PF00512:His Kinase A (phospho-acceptor) domain,PF02518:Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase,PF08448:PAS fold		SM00091:PAS,SM00387:HATPase_c,SM00388:HisKA	Complete proteome,Kinase,Plasmid,Reference proteome,Transferase,
8925798	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase(ksgA)	Haloferax volcanii DS2	2.1.1.-		GO:0005737~cytoplasm	GO:0000179~rRNA (adenine-N6,N6-)-dimethyltransferase activity,GO:0003723~RNA binding	IPR001737:Ribosomal RNA adenine methylase transferase,IPR011530:Ribosomal RNA adenine dimethylase,IPR020596:Ribosomal RNA adenine methylase transferase, conserved site,IPR020598:Ribosomal RNA adenine methylase transferase, N-terminal,IPR023165:rRNA adenine dimethylase-like		ksgA	PF00398:Ribosomal RNA adenine dimethylase		SM00650:rADc	Complete proteome,Cytoplasm,Methyltransferase,Reference proteome,RNA-binding,rRNA processing,S-adenosyl-L-methionine,Transferase,
8924090	2',3'-cyclic-nucleotide 2'-phosphodiesterase(HVO_RS17660)	Haloferax volcanii DS2		GO:0009166~nucleotide catabolic process		GO:0016787~hydrolase activity	IPR004843:Metallophosphoesterase domain,IPR006179:5'-Nucleotidase/apyrase,IPR008334:5'-Nucleotidase, C-terminal		HVO_RS17660	PF00149:Calcineurin-like phosphoesterase,PF02872:5'-nucleotidase, C-terminal domain			Complete proteome,Hydrolase,Reference proteome,
8924538	2'-5' RNA ligase(HVO_RS05245)	Haloferax volcanii DS2	3.1.4.-			GO:0004113~2',3'-cyclic-nucleotide 3'-phosphodiesterase activity,GO:0008664~2'-5'-RNA ligase activity	IPR004175:2',5' RNA ligase,IPR009097:RNA ligase/cyclic nucleotide phosphodiesterase		HVO_RS05245				Complete proteome,Hydrolase,Ligase,Reference proteome,
