Row.names	de00	de02	de04	de08	de24	old	new	prot	gene_name	arcog
lcl|NC_013967.1_cds_WP_004043887.1_2078	-0.214071776	1.202895865	0.390909117	0.335654624	0.058379837	HVO_1054	HVO_RS09755	aspartyl/glutamyl-tRNA amidotransferase subunit A	gatA/aatA	arCOG01717
lcl|NC_013967.1_cds_WP_004044251.1_1727	0.924360419	1.133309566	1.165810692	1.073081259	1.134999597	HVO_0684	HVO_RS07990	aspartyl/glutamyl-tRNA amidotransferase subunit B	gatB/aatB	arCOG01718
lcl|NC_013967.1_cds_WP_004043888.1_2077	0.943832945	1.227014993	0.622416759	0.425060315	0.580430464	HVO_1053	HVO_RS09750	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	gatC/aatC	arCOG02726
lcl|NC_013967.1_cds_WP_004041864.1_2961	NA	1.278761259	1.280646827	NA	NA	HVO_1983	HVO_RS14215	malate synthase	aceB/aceB1	arCOG00760
lcl|NC_013967.1_cds_WP_004044390.1_1592	-0.749109386	-2.283259304	-2.341190612	-2.297595469	-2.067197726	HVO_0541	HVO_RS07305	aconitate hydratase	citB2/acnA	arCOG01697
lcl|NC_013967.1_cds_WP_004044390.1_1592	-0.749109386	-2.283259304	-2.341190612	-2.297595469	-2.067197726	HVO_0541	HVO_RS07305	aconitate hydratase	citB2/acnA	arCOG01697
lcl|NC_013967.1_cds_WP_004044390.1_1592	-0.749109386	-2.283259304	-2.341190612	-2.297595469	-2.067197726	HVO_0541	HVO_RS07305	aconitate hydratase	citB2/acnA	arCOG01697
lcl|NC_013967.1_cds_WP_004042457.1_3467	-0.111219553	1.235837333	0.970921897	0.478568294	0.448926422	HVO_2496	HVO_RS16740	adenylate kinase	adk1	arCOG01046
lcl|NC_013967.1_cds_WP_004042457.1_3467	-0.111219553	1.235837333	0.970921897	0.478568294	0.448926422	HVO_2496	HVO_RS16740	adenylate kinase	adk1	arCOG01046
lcl|NC_013967.1_cds_WP_004045320.1_1280	1.012213993	1.675436712	1.742143662	1.477463674	1.541012472	HVO_0206	HVO_RS05705	alanine--tRNA ligase	alaS1	arCOG01255
lcl|NC_013967.1_cds_WP_004044146.1_1826	-1.32E-05	0.892693673	0.18060246	-0.016789067	0.066789156	HVO_0790	HVO_RS08490	fructose-bisphosphate aldolase	fba2/aroA	arCOG04044
lcl|NC_013967.1_cds_WP_004044146.1_1826	-1.32E-05	0.892693673	0.18060246	-0.016789067	0.066789156	HVO_0790	HVO_RS08490	fructose-bisphosphate aldolase	fba2/aroA	arCOG04044
lcl|NC_013967.1_cds_WP_004044146.1_1826	-1.32E-05	0.892693673	0.18060246	-0.016789067	0.066789156	HVO_0790	HVO_RS08490	fructose-bisphosphate aldolase	fba2/aroA	arCOG04044
lcl|NC_013967.1_cds_WP_004044146.1_1826	-1.32E-05	0.892693673	0.18060246	-0.016789067	0.066789156	HVO_0790	HVO_RS08490	fructose-bisphosphate aldolase	fba2/aroA	arCOG04044
lcl|NC_013967.1_cds_WP_004044146.1_1826	-1.32E-05	0.892693673	0.18060246	-0.016789067	0.066789156	HVO_0790	HVO_RS08490	fructose-bisphosphate aldolase	fba2/aroA	arCOG04044
lcl|NC_013967.1_cds_WP_004044144.1_1828	0.759382879	0.670592675	0.558230235	0.533111618	0.222208385	HVO_0792	HVO_RS08500	3-dehydroquinate synthase II	aroB	arCOG04353
lcl|NC_013967.1_cds_WP_004044332.1_1649	0.739870467	-0.901030333	-0.558013694	-0.096767886	-0.095816583	HVO_0602	HVO_RS07595	3-dehydroquinase	aroD/aroD1	arCOG02097
lcl|NC_013967.1_cds_WP_004045259.1_1222	0.207734714	0.891463762	1.941235515	1.193780664	0.566989405	HVO_0146	HVO_RS05415	phosphatidylserine decarboxylase	psd/asd	arCOG04470
lcl|NC_013967.1_cds_WP_004044604.1_1389	0.567021544	0.984687743	1.09766922	1.000810254	0.685697897	HVO_0319	HVO_RS06245	V-type ATP synthase subunit D	atpD1	arCOG04101
lcl|NC_013966.1_cds_WP_004043105.1_638	0.691114636	-0.095537804	-0.651057165	-0.453954772	-0.400122415	HVO_A0178	HVO_RS02665	V-type ATP synthase subunit D	atpD2	arCOG04101
lcl|NC_013967.1_cds_WP_004044610.1_1383	0.726789982	2.417610366	1.938398882	1.65469534	1.435334793	HVO_0313	HVO_RS06215	ATP synthase subunit E	atpE	arCOG00869
lcl|NC_013967.1_cds_WP_004044608.1_1385	-0.458266069	1.679688443	1.533965858	1.381645364	1.28308406	HVO_0315	HVO_RS06225	ATP synthase subunit F	atpF	arCOG04102
lcl|NC_013964.1_cds_WP_004041142.1_99	-0.313424852	-0.369250261	-0.280764107	-0.479398693	-1.171518383	HVO_B0012	HVO_RS00055	glycine/betaine ABC transporter	opuD2/betL2	arCOG04540
lcl|NC_013967.1_cds_WP_004044292.1_1689	0.714759458	-0.054219528	-0.274124753	0.079725262	-0.190742878	HVO_0644	HVO_RS07800	citramalate synthase	leuA1/cimA1	arCOG02092
