locus_tag	shaking_mean	t02_mean	theta	prob	log2FC	length.x	P	wp	dbxref	ncbi_id	genomic_accession	feature	start	stop	strand	gene	gbkey	gene_biotype	old_locus_tag.x	length.y	protein	old_locus_tag.y	kegg1	kegg2	kegg3	gene_id	gene_description	kegg_id	kegg_gene	kegg_description	enzyme	keggidprot	Gene.Name	Species	EC_NUMBER	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OFFICIAL_GENE_SYMBOL	PFAM	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	chr	arCOG_name	E.value	score	arCOG_familiy	Gene_name	Description	HVO	EFFECTSIZE
HVO_RS00390	304.985059702806	468.578128179859	-0.107938386124466	0.155687544093881	-0.619551043967174	1031	0.844312455906119	WP_004041074.1	8919119	lcl|NC_013964.1_cds_WP_004041074.1_167	NC_013964.1	gene	90597	91628	-	166	Gene	protein_coding	HVO_B0081	1031	peptide ABC transporter	HVO_B0081	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters 	dppB11	ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)	K02033	ABC.PE.P	 peptide/nickel transport system permeas e protein		K02033: 	peptide ABC transporter(HVO_RS00390)	Haloferax volcanii DS2		GO:0006810~transport	GO:0005886~plasma membrane,GO:0016021~integral component of membrane		IPR000515:Binding-protein-dependent transport systems inner membrane component		HVO_RS00390	PF00528:Binding-protein-dependent transport system inner membrane component			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,Transport,	pHV3	arCOG00751	1.3e-85	285.2	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0081	-0.619551043967174
HVO_RS00390	304.985059702806	468.578128179859	-0.107938386124466	0.155687544093881	-0.619551043967174	1031	0.844312455906119	WP_004041074.1	8919119	lcl|NC_013964.1_cds_WP_004041074.1_167	NC_013964.1	gene	90597	91628	-	166	Gene	protein_coding	HVO_B0081	1031	peptide ABC transporter	HVO_B0081	Cellular Processes	Cellular community - prokaryotes	Quorum sensing 	dppB11	ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)	K02033	ABC.PE.P	 peptide/nickel transport system permeas e protein		K02033: 	peptide ABC transporter(HVO_RS00390)	Haloferax volcanii DS2		GO:0006810~transport	GO:0005886~plasma membrane,GO:0016021~integral component of membrane		IPR000515:Binding-protein-dependent transport systems inner membrane component		HVO_RS00390	PF00528:Binding-protein-dependent transport system inner membrane component			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,Transport,	pHV3	arCOG00751	1.3e-85	285.2	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0081	-0.619551043967174
HVO_RS00980	3011.29087783033	1283.57140948553	0.320534851588865	0.37208065791923	1.23021851274381	422	0.62791934208077	WP_004041335.1	8919055	lcl|NC_013964.1_cds_WP_004041335.1_286	NC_013964.1	gene	230208	230630	+	285	Gene	protein_coding	HVO_B0199	422	tRNA-specific adenosine deaminase	HVO_B0199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	tRNA-specific adenosine deaminase(HVO_RS00980)	Haloferax volcanii DS2		GO:0002100~tRNA wobble adenosine to inosine editing		GO:0008251~tRNA-specific adenosine deaminase activity,GO:0008270~zinc ion binding	IPR002125:CMP/dCMP deaminase, zinc-binding,IPR016193:Cytidine deaminase-like		HVO_RS00980	PF14437:MafB19-like deaminase			Complete proteome,	pHV3	arCOG01488	4.6e-36	122.5	J	TadA	tRNA(Arg) A34 adenosine deaminase TadA	HVO_B0199	1.23021851274381
HVO_RS01105	109.828888081881	1308.94085478834	-0.650632743654591	0.7468818755631	-3.57507043110698	410	0.2531181244369	WP_004041311.1	8919026	lcl|NC_013964.1_cds_WP_004041311.1_311	NC_013964.1	gene	264338	264748	-	310	Gene	protein_coding	HVO_B0224	410	cupin	HVO_B0224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	cupin(HVO_RS01105)	Haloferax volcanii DS2	4.1.1.2			GO:0046564~oxalate decarboxylase activity	IPR011051:RmlC-like cupin domain,IPR013096:Cupin 2, conserved barrel,IPR014710:RmlC-like jelly roll fold		HVO_RS01105	PF07883:Cupin domain			Complete proteome,Lyase,Plasmid,Reference proteome,	pHV3	arCOG03003	7.1e-32	107.7	G	-	Cupin domain containing protein	HVO_B0224	-3.57507043110698
HVO_RS01295	406.386042278891	493.413692521466	-0.059833434674572	0.0604212790720247	-0.279946899626788	1307	0.939578720927975	WP_004041272.1	8919132	lcl|NC_013964.1_cds_WP_004041272.1_350	NC_013964.1	gene	317826	319133	-	349	Gene	protein_coding	HVO_B0266	1307	glutamate dehydrogenase	HVO_B0266	Metabolism	Metabolism of other amino acids	D-Glutamine and D-glutamate metabolism 	gdhA3	glutamate dehydrogenase (NAD)	K00261	GLUD1_2	 glutamate dehydrogenase (NAD(P)+)	[EC:1.4.1.3]	K00261: 	glutamate dehydrogenase(HVO_RS01295)	Haloferax volcanii DS2		GO:0006520~cellular amino acid metabolic process		GO:0004352~glutamate dehydrogenase (NAD+) activity	IPR006095:Glutamate/phenylalanine/leucine/valine dehydrogenase,IPR006096:Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal,IPR006097:Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain,IPR014362:Glutamate dehydrogenase,IPR016040:NAD(P)-binding domain	hvo00220:Arginine biosynthesis,hvo00250:Alanine, aspartate and glutamate metabolism,hvo00910:Nitrogen metabolism,hvo01100:Metabolic pathways,hvo01200:Carbon metabolism	HVO_RS01295	PF00208:Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,PF02812:Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	PIRSF000185:glutamate dehydrogenase	SM00839:SM00839	Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	pHV3	arCOG01352	4e-154	510.9	E	GdhA	Glutamate dehydrogenase/leucine dehydrogenase	HVO_B0266	-0.279946899626788
HVO_RS01295	406.386042278891	493.413692521466	-0.059833434674572	0.0604212790720247	-0.279946899626788	1307	0.939578720927975	WP_004041272.1	8919132	lcl|NC_013964.1_cds_WP_004041272.1_350	NC_013964.1	gene	317826	319133	-	349	Gene	protein_coding	HVO_B0266	1307	glutamate dehydrogenase	HVO_B0266	Metabolism	Amino acid metabolism	Arginine biosynthesis 	gdhA3	glutamate dehydrogenase (NAD)	K00261	GLUD1_2	 glutamate dehydrogenase (NAD(P)+)	[EC:1.4.1.3]	K00261: 	glutamate dehydrogenase(HVO_RS01295)	Haloferax volcanii DS2		GO:0006520~cellular amino acid metabolic process		GO:0004352~glutamate dehydrogenase (NAD+) activity	IPR006095:Glutamate/phenylalanine/leucine/valine dehydrogenase,IPR006096:Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal,IPR006097:Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain,IPR014362:Glutamate dehydrogenase,IPR016040:NAD(P)-binding domain	hvo00220:Arginine biosynthesis,hvo00250:Alanine, aspartate and glutamate metabolism,hvo00910:Nitrogen metabolism,hvo01100:Metabolic pathways,hvo01200:Carbon metabolism	HVO_RS01295	PF00208:Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,PF02812:Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	PIRSF000185:glutamate dehydrogenase	SM00839:SM00839	Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	pHV3	arCOG01352	4e-154	510.9	E	GdhA	Glutamate dehydrogenase/leucine dehydrogenase	HVO_B0266	-0.279946899626788
HVO_RS01295	406.386042278891	493.413692521466	-0.059833434674572	0.0604212790720247	-0.279946899626788	1307	0.939578720927975	WP_004041272.1	8919132	lcl|NC_013964.1_cds_WP_004041272.1_350	NC_013964.1	gene	317826	319133	-	349	Gene	protein_coding	HVO_B0266	1307	glutamate dehydrogenase	HVO_B0266	Brite Hierarchies	Protein families: signaling and cellular processes	Exosome 	gdhA3	glutamate dehydrogenase (NAD)	K00261	GLUD1_2	 glutamate dehydrogenase (NAD(P)+)	[EC:1.4.1.3]	K00261: 	glutamate dehydrogenase(HVO_RS01295)	Haloferax volcanii DS2		GO:0006520~cellular amino acid metabolic process		GO:0004352~glutamate dehydrogenase (NAD+) activity	IPR006095:Glutamate/phenylalanine/leucine/valine dehydrogenase,IPR006096:Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal,IPR006097:Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain,IPR014362:Glutamate dehydrogenase,IPR016040:NAD(P)-binding domain	hvo00220:Arginine biosynthesis,hvo00250:Alanine, aspartate and glutamate metabolism,hvo00910:Nitrogen metabolism,hvo01100:Metabolic pathways,hvo01200:Carbon metabolism	HVO_RS01295	PF00208:Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,PF02812:Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	PIRSF000185:glutamate dehydrogenase	SM00839:SM00839	Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	pHV3	arCOG01352	4e-154	510.9	E	GdhA	Glutamate dehydrogenase/leucine dehydrogenase	HVO_B0266	-0.279946899626788
HVO_RS01295	406.386042278891	493.413692521466	-0.059833434674572	0.0604212790720247	-0.279946899626788	1307	0.939578720927975	WP_004041272.1	8919132	lcl|NC_013964.1_cds_WP_004041272.1_350	NC_013964.1	gene	317826	319133	-	349	Gene	protein_coding	HVO_B0266	1307	glutamate dehydrogenase	HVO_B0266	Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism 	gdhA3	glutamate dehydrogenase (NAD)	K00261	GLUD1_2	 glutamate dehydrogenase (NAD(P)+)	[EC:1.4.1.3]	K00261: 	glutamate dehydrogenase(HVO_RS01295)	Haloferax volcanii DS2		GO:0006520~cellular amino acid metabolic process		GO:0004352~glutamate dehydrogenase (NAD+) activity	IPR006095:Glutamate/phenylalanine/leucine/valine dehydrogenase,IPR006096:Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal,IPR006097:Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain,IPR014362:Glutamate dehydrogenase,IPR016040:NAD(P)-binding domain	hvo00220:Arginine biosynthesis,hvo00250:Alanine, aspartate and glutamate metabolism,hvo00910:Nitrogen metabolism,hvo01100:Metabolic pathways,hvo01200:Carbon metabolism	HVO_RS01295	PF00208:Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,PF02812:Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	PIRSF000185:glutamate dehydrogenase	SM00839:SM00839	Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	pHV3	arCOG01352	4e-154	510.9	E	GdhA	Glutamate dehydrogenase/leucine dehydrogenase	HVO_B0266	-0.279946899626788
HVO_RS01295	406.386042278891	493.413692521466	-0.059833434674572	0.0604212790720247	-0.279946899626788	1307	0.939578720927975	WP_004041272.1	8919132	lcl|NC_013964.1_cds_WP_004041272.1_350	NC_013964.1	gene	317826	319133	-	349	Gene	protein_coding	HVO_B0266	1307	glutamate dehydrogenase	HVO_B0266	Metabolism	Energy metabolism	Nitrogen metabolism 	gdhA3	glutamate dehydrogenase (NAD)	K00261	GLUD1_2	 glutamate dehydrogenase (NAD(P)+)	[EC:1.4.1.3]	K00261: 	glutamate dehydrogenase(HVO_RS01295)	Haloferax volcanii DS2		GO:0006520~cellular amino acid metabolic process		GO:0004352~glutamate dehydrogenase (NAD+) activity	IPR006095:Glutamate/phenylalanine/leucine/valine dehydrogenase,IPR006096:Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal,IPR006097:Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain,IPR014362:Glutamate dehydrogenase,IPR016040:NAD(P)-binding domain	hvo00220:Arginine biosynthesis,hvo00250:Alanine, aspartate and glutamate metabolism,hvo00910:Nitrogen metabolism,hvo01100:Metabolic pathways,hvo01200:Carbon metabolism	HVO_RS01295	PF00208:Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,PF02812:Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	PIRSF000185:glutamate dehydrogenase	SM00839:SM00839	Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	pHV3	arCOG01352	4e-154	510.9	E	GdhA	Glutamate dehydrogenase/leucine dehydrogenase	HVO_B0266	-0.279946899626788
HVO_RS01800	6096.65701591055	8757.1361333555	-0.211673313576265	0.395175632883685	-0.522440753507381	194	0.604824367116315	WP_004041162.1	8919205	lcl|NC_013964.1_cds_WP_004041162.1_453	NC_013964.1	gene	429092	429286	+	452	Gene	protein_coding	HVO_B0372	194	hypothetical protein	HVO_B0372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	hypothetical protein(HVO_RS01800)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS01800				Complete proteome,Membrane,Transmembrane,Transmembrane helix,	pHV3	arCOG03085	0.00051	17.3	T	-	Histidine kinase, HisKA_3 family	HVO_B0372	-0.522440753507381
HVO_RS01805	1901.25382823379	1081.98853033042	0.238254510915773	0.255956139820601	0.813265946973974	737	0.744043860179399	WP_004041160.1	8919195	lcl|NC_013964.1_cds_WP_004041160.1_454	NC_013964.1	gene	429920	430657	+	453	Gene	protein_coding	HVO_B0375	737	hypothetical protein	HVO_B0375	Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Cell growth		Spo0M family protein	K06377	spo0M	sporulation-control protein		K06377: 	hypothetical protein(HVO_RS01805)	Haloferax volcanii DS2					IPR009776:Sporulation stage 0, protein M		HVO_RS01805	PF07070:SpoOM protein			Complete proteome,Plasmid,Reference proteome,	pHV3	arCOG10193	9.4e-129	425.7	S	Spo0M	Spo0M family protein	HVO_B0375	0.813265946973974
HVO_RS01895	44.4667087479826	50.1527536973112	-0.0240530587787937	0.0175446318597182	-0.173603289928197	1352	0.982455368140282	WP_013035119.1	8923502	lcl|NC_013966.1_cds_WP_013035119.1_468	NC_013966.1	gene	6551	7903	+	467	Gene	protein_coding	HVO_A0007	1352	IS4 family transposase ISHvo11	HVO_A0007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	IS4 family transposase(HVO_RS01895)	Haloferax volcanii DS2							HVO_RS01895,					pHV4	arCOG03902	4.8e-220	728.3	X	-	IS4 transposase		-0.173603289928197
HVO_RS02050	66.478271018884	445.189078921868	-0.442259577981101	0.596985428596795	-2.74346343610545	980	0.403014571403205	WP_004043399.1	8923596	lcl|NC_013966.1_cds_WP_004043399.1_503	NC_013966.1	gene	35783	36763	+	502	Gene	protein_coding	HVO_A0039	980	hypothetical protein	HVO_A0039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	hypothetical protein(HVO_RS02050)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS02050				Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,	pHV4	arCOG05201	0.021	11.7	S	-	Uncharacterized protein	HVO_A0039	-2.74346343610545
HVO_RS02060	132.285198984877	553.155258266886	-0.379580951937474	0.568370972927869	-2.06403281782228	1040	0.431629027072131	WP_004043397.1	8923722	lcl|NC_013966.1_cds_WP_004043397.1_506	NC_013966.1	gene	37548	38588	-	505	Gene	protein_coding	HVO_A0042	1040	hypothetical protein	HVO_A0042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	hypothetical protein(HVO_RS02060)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS02060				Complete proteome,Plasmid,Reference proteome,	pHV4	arCOG02749	1.4e-07	29.4	K	-	Transcriptional regulator, TrmB family	HVO_A0042	-2.06403281782228
HVO_RS02080	449.796910453909	1003.78667383957	-0.253199670538431	0.463790461283802	-1.1581070415386	572	0.536209538716198	WP_004043393.1	8923685	lcl|NC_013966.1_cds_WP_004043393.1_510	NC_013966.1	gene	41599	42171	-	509	Gene	protein_coding	HVO_A0046	572	hypothetical protein	HVO_A0046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	hypothetical protein(HVO_RS02080)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS02080	PF09335:SNARE associated Golgi protein			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,	pHV4	arCOG03118	2.4e-45	152.4	S	-	Membrane protein DedA family	HVO_A0046	-1.1581070415386
HVO_RS02300	860.486539471367	651.102783330427	0.09041858716731	0.0331132055952452	0.402267318717085	740	0.966886794404755	WP_004043348.1	8923326	lcl|NC_013966.1_cds_WP_004043348.1_558	NC_013966.1	gene	96278	97018	+	557	Gene	protein_coding	HVO_A0093	740	ArcR family transcription regulator	HVO_A0093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	ArcR family transcriptional regulator(HVO_RS02300)	Haloferax volcanii DS2		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated		GO:0003677~DNA binding	IPR005471:Transcription regulator IclR, N-terminal,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR014757:Transcription regulator IclR, C-terminal		HVO_RS02300	PF01614:Bacterial transcriptional regulator,PF09339:IclR helix-turn-helix domain		SM00346:HTH_ICLR	Complete proteome,DNA-binding,Plasmid,Reference proteome,Transcription,Transcription regulation,	pHV4	arCOG02798	1.5e-47	159.4	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_A0093	0.402267318717085
HVO_RS02405	4738.43041941768	5304.14274239034	-0.0587601725241753	0.0587530370763926	-0.162710348067796	284	0.941246962923607	WP_004062180.1	8923620	lcl|NC_013966.1_cds_WP_004062180.1_580	NC_013966.1	gene	116872	117156	+	579	Gene	protein_coding	HVO_A0118	284	PadR family transcriptional regulator	HVO_A0118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	PadR family transcriptional regulator(HVO_RS02405)	Haloferax volcanii DS2							HVO_RS02405,					pHV4	arCOG00005	4.6e-39	130.3	K	-	Transcriptional regulator, PadR family	HVO_A0416	-0.162710348067796
HVO_RS02410	139.571007065752	721.197889712891	-0.429026713062333	0.590345496293265	-2.3693958921357	683	0.409654503706735	WP_013035153.1	8923279	lcl|NC_013966.1_cds_WP_013035153.1_581	NC_013966.1	gene	117274	117957	-	580	Gene	protein_coding	HVO_A0119	683	cyclase	HVO_A0119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	cyclase(HVO_RS02410)	Haloferax volcanii DS2		GO:0019441~tryptophan catabolic process to kynurenine		GO:0004061~arylformamidase activity	IPR007325:Putative cyclase		HVO_RS02410	PF04199:Putative cyclase			Complete proteome,Plasmid,Reference proteome,	pHV4	arCOG02462	4.5e-39	132.2	E	-	Kynurenine formamidase	HVO_A0119	-2.3693958921357
HVO_RS02705	43.1929615175188	971.118588263705	-0.763337159281947	0.785956476918028	-4.49077933811043	437	0.214043523081972	WP_004043113.1	8923819	lcl|NC_013966.1_cds_WP_004043113.1_648	NC_013966.1	gene	189115	189552	-	647	Gene	protein_coding	HVO_A0188	437	PIN domain nuclease	HVO_A0188	Not Included in Pathway or Brite	Poorly characterized	Function unknown		homolog to endonuclease VapC	K07065	K07065	uncharacterized protein		K07065: 	twitching motility protein PilT(HVO_RS02705)	Haloferax volcanii DS2	3.1.-.-			GO:0000287~magnesium ion binding,GO:0004540~ribonuclease activity	IPR002716:PIN domain,IPR022907:VapC family		HVO_RS02705	PF01850:PIN domain			Complete proteome,Hydrolase,Magnesium,Metal-binding,Nuclease,Plasmid,Reference proteome,Toxin,	pHV4	arCOG00713	4.1e-09	34.8	V	-	PIN domain containing protein	HVO_A0188	-4.49077933811043
