locus_tag	t00_mean	t24_mean	theta	prob	log2FC	length.x	P	wp	dbxref	ncbi_id	genomic_accession	feature	start	stop	strand	gene	gbkey	gene_biotype	old_locus_tag.x	length.y	protein	old_locus_tag.y	kegg1	kegg2	kegg3	gene_id	gene_description	kegg_id	kegg_gene	kegg_description	enzyme	keggidprot	Gene.Name	Species	EC_NUMBER	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OFFICIAL_GENE_SYMBOL	PFAM	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	chr	arCOG_name	E.value	score	arCOG_familiy	Gene_name	Description	HVO	EFFECTSIZE
HVO_RS00390	15.7097032473933	14.4547695041446	0.044900033592386	0.0376244186508683	0.120110324945641	1031	0.962375581349132	WP_004041074.1	8919119	lcl|NC_013964.1_cds_WP_004041074.1_167	NC_013964.1	gene	90597	91628	-	166	Gene	protein_coding	HVO_B0081	1031	peptide ABC transporter	HVO_B0081	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters 	dppB11	ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)	K02033	ABC.PE.P	 peptide/nickel transport system permeas e protein		K02033: 	peptide ABC transporter(HVO_RS00390)	Haloferax volcanii DS2		GO:0006810~transport	GO:0005886~plasma membrane,GO:0016021~integral component of membrane		IPR000515:Binding-protein-dependent transport systems inner membrane component		HVO_RS00390	PF00528:Binding-protein-dependent transport system inner membrane component			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,Transport,	pHV3	arCOG00751	1.3e-85	285.2	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0081	0.120110324945641
HVO_RS00390	15.7097032473933	14.4547695041446	0.044900033592386	0.0376244186508683	0.120110324945641	1031	0.962375581349132	WP_004041074.1	8919119	lcl|NC_013964.1_cds_WP_004041074.1_167	NC_013964.1	gene	90597	91628	-	166	Gene	protein_coding	HVO_B0081	1031	peptide ABC transporter	HVO_B0081	Cellular Processes	Cellular community - prokaryotes	Quorum sensing 	dppB11	ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)	K02033	ABC.PE.P	 peptide/nickel transport system permeas e protein		K02033: 	peptide ABC transporter(HVO_RS00390)	Haloferax volcanii DS2		GO:0006810~transport	GO:0005886~plasma membrane,GO:0016021~integral component of membrane		IPR000515:Binding-protein-dependent transport systems inner membrane component		HVO_RS00390	PF00528:Binding-protein-dependent transport system inner membrane component			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,Transport,	pHV3	arCOG00751	1.3e-85	285.2	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0081	0.120110324945641
HVO_RS00980	505.370098360196	126.746579399145	0.624717257857876	0.884113922573398	1.99539349299993	422	0.115886077426602	WP_004041335.1	8919055	lcl|NC_013964.1_cds_WP_004041335.1_286	NC_013964.1	gene	230208	230630	+	285	Gene	protein_coding	HVO_B0199	422	tRNA-specific adenosine deaminase	HVO_B0199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	tRNA-specific adenosine deaminase(HVO_RS00980)	Haloferax volcanii DS2		GO:0002100~tRNA wobble adenosine to inosine editing		GO:0008251~tRNA-specific adenosine deaminase activity,GO:0008270~zinc ion binding	IPR002125:CMP/dCMP deaminase, zinc-binding,IPR016193:Cytidine deaminase-like		HVO_RS00980	PF14437:MafB19-like deaminase			Complete proteome,	pHV3	arCOG01488	4.6e-36	122.5	J	TadA	tRNA(Arg) A34 adenosine deaminase TadA	HVO_B0199	1.99539349299993
HVO_RS01105	168.968293679797	107.764735673428	0.246739619213485	0.547107496239992	0.648867399234023	410	0.452892503760008	WP_004041311.1	8919026	lcl|NC_013964.1_cds_WP_004041311.1_311	NC_013964.1	gene	264338	264748	-	310	Gene	protein_coding	HVO_B0224	410	cupin	HVO_B0224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	cupin(HVO_RS01105)	Haloferax volcanii DS2	4.1.1.2			GO:0046564~oxalate decarboxylase activity	IPR011051:RmlC-like cupin domain,IPR013096:Cupin 2, conserved barrel,IPR014710:RmlC-like jelly roll fold		HVO_RS01105	PF07883:Cupin domain			Complete proteome,Lyase,Plasmid,Reference proteome,	pHV3	arCOG03003	7.1e-32	107.7	G	-	Cupin domain containing protein	HVO_B0224	0.648867399234023
HVO_RS01295	110.178252158837	148.53180642824	-0.183446279372578	0.383555252874834	-0.430932419514499	1307	0.616444747125166	WP_004041272.1	8919132	lcl|NC_013964.1_cds_WP_004041272.1_350	NC_013964.1	gene	317826	319133	-	349	Gene	protein_coding	HVO_B0266	1307	glutamate dehydrogenase	HVO_B0266	Metabolism	Metabolism of other amino acids	D-Glutamine and D-glutamate metabolism 	gdhA3	glutamate dehydrogenase (NAD)	K00261	GLUD1_2	 glutamate dehydrogenase (NAD(P)+)	[EC:1.4.1.3]	K00261: 	glutamate dehydrogenase(HVO_RS01295)	Haloferax volcanii DS2		GO:0006520~cellular amino acid metabolic process		GO:0004352~glutamate dehydrogenase (NAD+) activity	IPR006095:Glutamate/phenylalanine/leucine/valine dehydrogenase,IPR006096:Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal,IPR006097:Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain,IPR014362:Glutamate dehydrogenase,IPR016040:NAD(P)-binding domain	hvo00220:Arginine biosynthesis,hvo00250:Alanine, aspartate and glutamate metabolism,hvo00910:Nitrogen metabolism,hvo01100:Metabolic pathways,hvo01200:Carbon metabolism	HVO_RS01295	PF00208:Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,PF02812:Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	PIRSF000185:glutamate dehydrogenase	SM00839:SM00839	Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	pHV3	arCOG01352	4e-154	510.9	E	GdhA	Glutamate dehydrogenase/leucine dehydrogenase	HVO_B0266	-0.430932419514499
HVO_RS01295	110.178252158837	148.53180642824	-0.183446279372578	0.383555252874834	-0.430932419514499	1307	0.616444747125166	WP_004041272.1	8919132	lcl|NC_013964.1_cds_WP_004041272.1_350	NC_013964.1	gene	317826	319133	-	349	Gene	protein_coding	HVO_B0266	1307	glutamate dehydrogenase	HVO_B0266	Metabolism	Amino acid metabolism	Arginine biosynthesis 	gdhA3	glutamate dehydrogenase (NAD)	K00261	GLUD1_2	 glutamate dehydrogenase (NAD(P)+)	[EC:1.4.1.3]	K00261: 	glutamate dehydrogenase(HVO_RS01295)	Haloferax volcanii DS2		GO:0006520~cellular amino acid metabolic process		GO:0004352~glutamate dehydrogenase (NAD+) activity	IPR006095:Glutamate/phenylalanine/leucine/valine dehydrogenase,IPR006096:Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal,IPR006097:Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain,IPR014362:Glutamate dehydrogenase,IPR016040:NAD(P)-binding domain	hvo00220:Arginine biosynthesis,hvo00250:Alanine, aspartate and glutamate metabolism,hvo00910:Nitrogen metabolism,hvo01100:Metabolic pathways,hvo01200:Carbon metabolism	HVO_RS01295	PF00208:Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,PF02812:Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	PIRSF000185:glutamate dehydrogenase	SM00839:SM00839	Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	pHV3	arCOG01352	4e-154	510.9	E	GdhA	Glutamate dehydrogenase/leucine dehydrogenase	HVO_B0266	-0.430932419514499
HVO_RS01295	110.178252158837	148.53180642824	-0.183446279372578	0.383555252874834	-0.430932419514499	1307	0.616444747125166	WP_004041272.1	8919132	lcl|NC_013964.1_cds_WP_004041272.1_350	NC_013964.1	gene	317826	319133	-	349	Gene	protein_coding	HVO_B0266	1307	glutamate dehydrogenase	HVO_B0266	Brite Hierarchies	Protein families: signaling and cellular processes	Exosome 	gdhA3	glutamate dehydrogenase (NAD)	K00261	GLUD1_2	 glutamate dehydrogenase (NAD(P)+)	[EC:1.4.1.3]	K00261: 	glutamate dehydrogenase(HVO_RS01295)	Haloferax volcanii DS2		GO:0006520~cellular amino acid metabolic process		GO:0004352~glutamate dehydrogenase (NAD+) activity	IPR006095:Glutamate/phenylalanine/leucine/valine dehydrogenase,IPR006096:Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal,IPR006097:Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain,IPR014362:Glutamate dehydrogenase,IPR016040:NAD(P)-binding domain	hvo00220:Arginine biosynthesis,hvo00250:Alanine, aspartate and glutamate metabolism,hvo00910:Nitrogen metabolism,hvo01100:Metabolic pathways,hvo01200:Carbon metabolism	HVO_RS01295	PF00208:Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,PF02812:Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	PIRSF000185:glutamate dehydrogenase	SM00839:SM00839	Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	pHV3	arCOG01352	4e-154	510.9	E	GdhA	Glutamate dehydrogenase/leucine dehydrogenase	HVO_B0266	-0.430932419514499
HVO_RS01295	110.178252158837	148.53180642824	-0.183446279372578	0.383555252874834	-0.430932419514499	1307	0.616444747125166	WP_004041272.1	8919132	lcl|NC_013964.1_cds_WP_004041272.1_350	NC_013964.1	gene	317826	319133	-	349	Gene	protein_coding	HVO_B0266	1307	glutamate dehydrogenase	HVO_B0266	Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism 	gdhA3	glutamate dehydrogenase (NAD)	K00261	GLUD1_2	 glutamate dehydrogenase (NAD(P)+)	[EC:1.4.1.3]	K00261: 	glutamate dehydrogenase(HVO_RS01295)	Haloferax volcanii DS2		GO:0006520~cellular amino acid metabolic process		GO:0004352~glutamate dehydrogenase (NAD+) activity	IPR006095:Glutamate/phenylalanine/leucine/valine dehydrogenase,IPR006096:Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal,IPR006097:Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain,IPR014362:Glutamate dehydrogenase,IPR016040:NAD(P)-binding domain	hvo00220:Arginine biosynthesis,hvo00250:Alanine, aspartate and glutamate metabolism,hvo00910:Nitrogen metabolism,hvo01100:Metabolic pathways,hvo01200:Carbon metabolism	HVO_RS01295	PF00208:Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,PF02812:Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	PIRSF000185:glutamate dehydrogenase	SM00839:SM00839	Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	pHV3	arCOG01352	4e-154	510.9	E	GdhA	Glutamate dehydrogenase/leucine dehydrogenase	HVO_B0266	-0.430932419514499
HVO_RS01295	110.178252158837	148.53180642824	-0.183446279372578	0.383555252874834	-0.430932419514499	1307	0.616444747125166	WP_004041272.1	8919132	lcl|NC_013964.1_cds_WP_004041272.1_350	NC_013964.1	gene	317826	319133	-	349	Gene	protein_coding	HVO_B0266	1307	glutamate dehydrogenase	HVO_B0266	Metabolism	Energy metabolism	Nitrogen metabolism 	gdhA3	glutamate dehydrogenase (NAD)	K00261	GLUD1_2	 glutamate dehydrogenase (NAD(P)+)	[EC:1.4.1.3]	K00261: 	glutamate dehydrogenase(HVO_RS01295)	Haloferax volcanii DS2		GO:0006520~cellular amino acid metabolic process		GO:0004352~glutamate dehydrogenase (NAD+) activity	IPR006095:Glutamate/phenylalanine/leucine/valine dehydrogenase,IPR006096:Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal,IPR006097:Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain,IPR014362:Glutamate dehydrogenase,IPR016040:NAD(P)-binding domain	hvo00220:Arginine biosynthesis,hvo00250:Alanine, aspartate and glutamate metabolism,hvo00910:Nitrogen metabolism,hvo01100:Metabolic pathways,hvo01200:Carbon metabolism	HVO_RS01295	PF00208:Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,PF02812:Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	PIRSF000185:glutamate dehydrogenase	SM00839:SM00839	Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	pHV3	arCOG01352	4e-154	510.9	E	GdhA	Glutamate dehydrogenase/leucine dehydrogenase	HVO_B0266	-0.430932419514499
HVO_RS01800	4214.82576019475	7198.58428799466	-0.511259820241705	0.858109214787242	-0.772240214583779	194	0.141890785212758	WP_004041162.1	8919205	lcl|NC_013964.1_cds_WP_004041162.1_453	NC_013964.1	gene	429092	429286	+	452	Gene	protein_coding	HVO_B0372	194	hypothetical protein	HVO_B0372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	hypothetical protein(HVO_RS01800)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS01800				Complete proteome,Membrane,Transmembrane,Transmembrane helix,	pHV3	arCOG03085	0.00051	17.3	T	-	Histidine kinase, HisKA_3 family	HVO_B0372	-0.772240214583779
