genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013964.1_cds_WP_004041051.1_190	1	HVO_RS00505	505	117697	117999	pHV3	0
lcl|NC_013966.1_cds_WP_004040996.1_467	1	HVO_RS01890	1890	5824	6483	pHV4	0
lcl|NC_013966.1_cds_WP_004043398.1_505	1	HVO_RS02055	2055	37089	37340	pHV4	0
lcl|NC_013966.1_cds_WP_004043365.1_535	1	HVO_RS02195	2195	63533	64375	pHV4	0
lcl|NC_013966.1_cds_WP_004043126.1_660	1	HVO_RS02760	2760	208856	210925	pHV4	0
lcl|NC_013966.1_cds_WP_013035073.1_831	1	HVO_RS03545	3545	391212	392903	pHV4	0
lcl|NC_013966.1_cds_WP_013035173.1_862	1	HVO_RS03685	3685	419256	419897	pHV4	0
lcl|NC_013967.1_cds_WP_004044633.1_1360	1	HVO_RS06100	6100	260022	260435	Chromosome	0
lcl|NC_013967.1_cds_WP_004044531.1_1455	1	HVO_RS06590	6590	347026	347382	Chromosome	0
lcl|NC_013967.1_cds_WP_004044352.1_1630	1	HVO_RS07495	7495	516141	517343	Chromosome	0
lcl|NC_013967.1_cds_WP_004043859.1_2103	1	HVO_RS09880	9880	984665	985642	Chromosome	0
lcl|NC_013967.1_cds_WP_004043463.1_2483	1	HVO_RS11805	11805	1343584	1343796	Chromosome	0
lcl|NC_013967.1_cds_WP_004041405.1_2534	1	HVO_RS12035	12035	1393000	1393731	Chromosome	0
lcl|NC_013967.1_cds_WP_004041450.1_2576	1	HVO_RS12245	12245	1438743	1441139	Chromosome	0
lcl|NC_013967.1_cds_WP_004041552.1_2664	1	HVO_RS12685	12685	1525352	1525714	Chromosome	0
lcl|NC_013967.1_cds_WP_004041843.1_2941	1	HVO_RS14120	14120	1813650	1813895	Chromosome	0
lcl|NC_013967.1_cds_WP_049914791.1_2999	1	HVO_RS14405	14405	1865495	1865797	Chromosome	0
lcl|NC_013967.1_cds_WP_004041935.1_3029	1	HVO_RS14560	14560	1895852	1896775	Chromosome	0
lcl|NC_013967.1_cds_WP_004044866.1_3932	1	HVO_RS19130	19130	2814791	2814994	Chromosome	0
lcl|NC_013967.1_cds_WP_004044895.1_3943	1	HVO_RS19180	19180	2822533	2822901	Chromosome	0
lcl|NC_013967.1_cds_WP_004044952.1_3964	1	HVO_RS19285	19285	2846015	2846656	Chromosome	0
lcl|NC_013968.1_cds_WP_013035685.1_52	1	HVO_RS19505	19505	55340	55567	pHV1	0
lcl|NC_013966.1_cds_WP_013035126.1_881	1	HVO_RS20030	20030	438155	438697	pHV4	0
lcl|NC_013968.1_cds_WP_013035690.1_28	1	HVO_RS20370	20370	19887	20411	pHV1	0
lcl|NC_013968.1_cds_WP_013035694.1_29	1	HVO_RS20375	20375	20437	20628	pHV1	1
lcl|NC_013968.1_cds_WP_013035686.1_53	1	HVO_RS20410	20410	55899	56111	pHV1	0
