locus_tag	dbxref	ncbi_id	genomic_accession	feature	start	stop	strand	gene	gbkey	gene_biotype	old_locus_tag	length	protein	thane_gene	thane_gene_description	gene_name	kegg1	kegg2	kegg3	pathway	kegg_prot	kegg_id	definition	keggidprot	Gene.Name	Species	EC_NUMBER	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OFFICIAL_GENE_SYMBOL	PFAM	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	cog	arcog	chr
HVO_RS00005	8919379	lcl|NC_013964.1_cds_WP_004041152.1_88	NC_013964.1	gene	201	1433	+	87	Gene	protein_coding	HVO_B0001	1232	cell division control protein Cdc6			orc6	NA	NA	NA	NA	NA	NA	NA	NA: NA	cell division control protein Cdc6(HVO_RS00005)	Haloferax volcanii DS2		GO:0006260~DNA replication		GO:0005524~ATP binding	IPR003593:AAA+ ATPase domain,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR014277:Cell division protein Cdc6-related, archaea,IPR015163:CDC6, C-terminal domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase		HVO_RS00005	PF09079:CDC6, C terminal ,PF13401:AAA domain		SM00382:AAA,SM01074:SM01074	ATP-binding,Complete proteome,DNA replication,Nucleotide-binding,Plasmid,Reference proteome,	COG1474LO	arCOG00467	pHV3
HVO_RS00010	8919138	lcl|NC_013964.1_cds_WP_004041151.1_89	NC_013964.1	gene	1555	2712	+	88	Gene	protein_coding	HVO_B0002	1157	acetylornithine deacetylase				Metabolism	Amino acid metabolism	00300 Lysine biosynthesis 	[PATH:hvo00300]	acetylornithine deacetylase	K01439	dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	K01439: acetylornithine deacetylase	acetylornithine deacetylase(HVO_RS00010)	Haloferax volcanii DS2		GO:0008152~metabolic process		GO:0016787~hydrolase activity	IPR002933:Peptidase M20,IPR010182:Acetylornithine deacetylase/succinyl-diaminopimelate desuccinylase,IPR011650:Peptidase M20, dimerisation domain	hvo00300:Lysine biosynthesis,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments,hvo01230:Biosynthesis of amino acids	HVO_RS00010	PF01546:Peptidase family M20/M25/M40,PF07687:Peptidase dimerisation domain			Complete proteome,Plasmid,Reference proteome,	COG0624E	arCOG01107	pHV3
HVO_RS00015	8919263	lcl|NC_013964.1_cds_WP_004041150.1_90	NC_013964.1	gene	2760	3179	-	89	Gene	protein_coding	HVO_B0003	419	DNA polymerase III subunit delta'				NA	NA	NA	NA	NA	NA	NA	NA: NA	DNA polymerase III subunit delta'(HVO_RS00015)	Haloferax volcanii DS2					IPR005624:Domain of unknown function DUF336		HVO_RS00015	PF03928:Domain of unknown function (DUF336)			Complete proteome,Plasmid,Reference proteome,	COG3193R	arCOG07054	pHV3
HVO_RS00020	8919323	lcl|NC_013964.1_cds_WP_004041149.1_91	NC_013964.1	gene	3414	4661	-	90	Gene	protein_coding	HVO_B0004	1247	serine hydroxymethyltransferase			glyA2	Metabolism	Metabolism of cofactors and vitamins	00670 One carbon pool by folate 	[PATH:hvo00670]	glyA2; glycine hydroxymethyltransferase	K00600	glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]	K00600: glyA2; glycine hydroxymethyltransferase	serine hydroxymethyltransferase(HVO_RS00020)	Haloferax volcanii DS2	2.1.2.1	GO:0019264~glycine biosynthetic process from serine,GO:0035999~tetrahydrofolate interconversion	GO:0005737~cytoplasm	GO:0004372~glycine hydroxymethyltransferase activity,GO:0008168~methyltransferase activity,GO:0030170~pyridoxal phosphate binding	IPR001085:Serine hydroxymethyltransferase,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,IPR019798:Serine hydroxymethyltransferase, pyridoxal phosphate binding site	hvo00260:Glycine, serine and threonine metabolism,hvo00460:Cyanoamino acid metabolism,hvo00630:Glyoxylate and dicarboxylate metabolism,hvo00670:One carbon pool by folate,hvo00680:Methane metabolism,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites,hvo01120:Microbial metabolism in diverse environments,hvo01130:Biosynthesis of antibiotics,hvo01200:Carbon metabolism,hvo01230:Biosynthesis of amino acids	HVO_RS00020	PF00464:Serine hydroxymethyltransferase	PIRSF000412:serine/glycine hydroxymethyltransferase		Amino-acid biosynthesis,Complete proteome,Cytoplasm,Methyltransferase,One-carbon metabolism,Plasmid,Pyridoxal phosphate,Reference proteome,Transferase,	COG0112E	arCOG00070	pHV3
HVO_RS00025	8919017	lcl|NC_013964.1_cds_WP_004041148.1_92	NC_013964.1	gene	5024	6265	+	91	Gene	protein_coding	HVO_B0005	1241	threonine ammonia-lyase			ilvA2	Metabolism	Amino acid metabolism	00260 Glycine, serine and threonine metabolism 	[PATH:hvo00260]	ilvA2; threonine ammonia-lyase	K01754	E4.3.1.19; threonine dehydratase [EC:4.3.1.19]	K01754: ilvA2; threonine ammonia-lyase	threonine ammonia-lyase(HVO_RS00025)	Haloferax volcanii DS2	4.3.1.19	GO:0006567~threonine catabolic process		GO:0004794~L-threonine ammonia-lyase activity,GO:0016597~amino acid binding	IPR001926:Tryptophan synthase beta subunit-like PLP-dependent enzymes superfamily,IPR002912:ACT domain,IPR005789:Threonine dehydratase, catabolic	hvo00260:Glycine, serine and threonine metabolism,hvo00290:Valine, leucine and isoleucine biosynthesis,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites,hvo01130:Biosynthesis of antibiotics,hvo01200:Carbon metabolism,hvo01230:Biosynthesis of amino acids	HVO_RS00025	PF00291:Pyridoxal-phosphate dependent enzyme			Complete proteome,Lyase,Plasmid,Reference proteome,	COG1171E	arCOG01431	pHV3
HVO_RS00030	8919155	lcl|NC_013964.1_cds_WP_004041147.1_93	NC_013964.1	gene	6420	7298	-	92	Gene	protein_coding	HVO_B0006	878	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS00030)	Haloferax volcanii DS2							HVO_RS00030				Complete proteome,Plasmid,Reference proteome,	-	arCOG06198	pHV3
HVO_RS00035	8919069	lcl|NC_013964.1_cds_WP_004041146.1_94	NC_013964.1	gene	7541	8191	+	93	Gene	protein_coding	HVO_B0007	650	bacterio-opsin activator				NA	NA	NA	NA	NA	NA	NA	NA: NA	bacterio-opsin activator(HVO_RS00035)	Haloferax volcanii DS2					IPR007050:Transcription regulator HTH, bacterioopsin		HVO_RS00035	PF04967:HTH DNA binding domain			Complete proteome,Plasmid,Reference proteome,	COG3413R	arCOG02280	pHV3
HVO_RS00040	8919360	lcl|NC_013964.1_cds_WP_004041145.1_95	NC_013964.1	gene	8220	8594	-	94	Gene	protein_coding	HVO_B0008	374	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS00040)	Haloferax volcanii DS2							HVO_RS00040				Complete proteome,Plasmid,Reference proteome,	-	arCOG00439	pHV3
HVO_RS00045	8919248	lcl|NC_013964.1_cds_WP_004041144.1_96	NC_013964.1	gene	8587	9729	-	95	Gene	protein_coding	HVO_B0009	1142	ring-hydroxylating oxygenase subunit alpha				NA	NA	NA	NA	NA	NA	NA	NA: NA	ring-hydroxylating oxygenase subunit alpha(HVO_RS00045)	Haloferax volcanii DS2		GO:0019439~aromatic compound catabolic process		GO:0005506~iron ion binding,GO:0016708~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of two atoms of oxygen into one donor,GO:0051537~2 iron, 2 sulfur cluster binding	IPR001663:Aromatic-ring-hydroxylating dioxygenase, alpha subunit,IPR015879:Aromatic-ring-hydroxylating dioxygenase, alpha subunit, C-terminal domain,IPR017941:Rieske [2Fe-2S] iron-sulphur domain		HVO_RS00045	PF00355:Rieske [2Fe-2S] domain,PF00848:Ring hydroxylating alpha subunit (catalytic domain)			Complete proteome,Plasmid,Reference proteome,	COG4638PR	arCOG07775	pHV3
HVO_RS00050	8919123	lcl|NC_013964.1_cds_WP_004041143.1_98	NC_013964.1	gene	9927	11069	+	97	Gene	protein_coding	HVO_B0011	1142	N-methyltryptophan oxidase			soxA1	NA	NA	NA	NA	NA	NA	NA	NA: NA	N-methyltryptophan oxidase(HVO_RS00050)	Haloferax volcanii DS2	1.5.3.1			GO:0008115~sarcosine oxidase activity	IPR006076:FAD dependent oxidoreductase,IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain	hvo00260:Glycine, serine and threonine metabolism,hvo01100:Metabolic pathways	HVO_RS00050	PF01266:FAD dependent oxidoreductase			Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	COG0665E	arCOG00755	pHV3
HVO_RS00055	8919032	lcl|NC_013964.1_cds_WP_004041142.1_99	NC_013964.1	gene	11360	13114	+	98	Gene	protein_coding	HVO_B0012	1754	glycine/betaine ABC transporter			opuD2	NA	NA	NA	NA	NA	NA	NA	NA: NA	glycine/betaine ABC transporter(HVO_RS00055)	Haloferax volcanii DS2			GO:0016021~integral component of membrane	GO:0005215~transporter activity	IPR000060:BCCT transporter family,IPR018093:BCCT transporter, conserved site		HVO_RS00055	PF02028:BCCT family transporter			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,	COG1292M	arCOG04540	pHV3
HVO_RS00060	8919270	lcl|NC_013964.1_cds_WP_004041140.1_100	NC_013964.1	gene	13523	16036	+	99	Gene	protein_coding	HVO_B0014	2513	glycine cleavage system protein T			dmg1	NA	NA	NA	NA	NA	NA	NA	NA: NA	glycine cleavage system protein T(HVO_RS00060)	Haloferax volcanii DS2	1.5.3.1,2.1.2.10			GO:0004047~aminomethyltransferase activity,GO:0008115~sarcosine oxidase activity	IPR006076:FAD dependent oxidoreductase,IPR006222:Glycine cleavage T-protein, N-terminal,IPR013977:Glycine cleavage T-protein, C-terminal barrel,IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,IPR027266:GTP-binding protein TrmE/Glycine cleavage system T protein, domain 1		HVO_RS00060	PF01266:FAD dependent oxidoreductase,PF01571:Aminomethyltransferase folate-binding domain,PF08669:Glycine cleavage T-protein C-terminal barrel domain			Complete proteome,Oxidoreductase,Plasmid,Reference proteome,Transferase,	COG0404E	arCOG00755	pHV3
HVO_RS00065	25143362	lcl|NC_013964.1_cds_WP_049914704.1_101	NC_013964.1	gene	16218	16595	-	100	Gene	protein_coding	HVO_RS00065	377	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS00065)	Haloferax volcanii DS2							HVO_RS00065,					NA	NA	pHV3
HVO_RS00070	8919045	lcl|NC_013964.1_cds_WP_004041138.1_102	NC_013964.1	gene	16592	16822	-	101	Gene	protein_coding	HVO_B0016	230	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS00070)	Haloferax volcanii DS2				GO:0003677~DNA binding	IPR007159:AbrB-like domain		HVO_RS00070			SM00966:SM00966	Complete proteome,Plasmid,Reference proteome,	-	arCOG08216	pHV3
HVO_RS00075	8919184	lcl|NC_013964.1_cds_WP_004041137.1_103	NC_013964.1	gene	16978	17400	-	102	Gene	protein_coding	HVO_B0017	422	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS00075)	Haloferax volcanii DS2							HVO_RS00075				Complete proteome,Plasmid,Reference proteome,	-	arCOG08106	pHV3
HVO_RS00080	8919296	lcl|NC_013964.1_cds_WP_004041136.1_104	NC_013964.1	gene	17397	18260	-	103	Gene	protein_coding	HVO_B0018	863	chromosome partitioning protein ParA			parA2	NA	NA	NA	NA	NA	NA	NA	NA: NA	chromosome partitioning protein ParA(HVO_RS00080)	Haloferax volcanii DS2					IPR025669:AAA domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase		HVO_RS00080	PF13614:AAA domain			Complete proteome,Plasmid,Reference proteome,	COG1192D	arCOG00586	pHV3
HVO_RS00085	8919210	lcl|NC_013964.1_cds_WP_013034953.1_105	NC_013964.1	gene	18522	19892	+	104	Gene	protein_coding	HVO_B0019	1370	sodium:sulfate symporter				NA	NA	NA	NA	NA	NA	NA	NA: NA	sodium:sulfate symporter(HVO_RS00085)	Haloferax volcanii DS2		GO:0006814~sodium ion transport,GO:0055085~transmembrane transport	GO:0016021~integral component of membrane	GO:0005215~transporter activity	IPR001898:Sodium/sulphate symporter		HVO_RS00085	PF00939:Sodium:sulfate symporter transmembrane region			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,	COG0471P	arCOG00238	pHV3
HVO_RS00090	8919107	lcl|NC_013964.1_cds_WP_004041134.1_106	NC_013964.1	gene	20051	20704	+	105	Gene	protein_coding	HVO_B0020	653	bacterio-opsin activator				NA	NA	NA	NA	NA	NA	NA	NA: NA	bacterio-opsin activator(HVO_RS00090)	Haloferax volcanii DS2					IPR007050:Transcription regulator HTH, bacterioopsin		HVO_RS00090	PF04967:HTH DNA binding domain			Complete proteome,Plasmid,Reference proteome,	COG3413R	arCOG02276	pHV3
