genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013964.1_cds_WP_004041037.1_204	10	HVO_RS00575	575	133644	134408	pHV3	0
lcl|NC_013964.1_cds_WP_004041248.1_375	10	HVO_RS01410	1410	339767	340444	pHV3	0
lcl|NC_013966.1_cds_WP_013035014.1_659	10	HVO_RS02755	2755	207954	208772	pHV4	0
lcl|NC_013966.1_cds_WP_004043255.1_795	10	HVO_RS03390	3390	354529	355344	pHV4	0
lcl|NC_013966.1_cds_WP_004040797.1_888	10	HVO_RS03785	3785	445596	445964	pHV4	0
lcl|NC_013966.1_cds_WP_004040948.1_1036	10	HVO_RS04495	4495	595489	596250	pHV4	0
lcl|NC_013966.1_cds_WP_004040950.1_1038	10	HVO_RS04505	4505	596686	597246	pHV4	0
lcl|NC_013967.1_cds_1165	10	HVO_RS05125	5125	88714	89226	Chromosome	0
lcl|NC_013967.1_cds_WP_004045170.1_1169	10	HVO_RS05145	5145	92298	92993	Chromosome	0
lcl|NC_013967.1_cds_WP_004045172.1_1170	10	HVO_RS05150	5150	93097	94029	Chromosome	1
lcl|NC_013967.1_cds_WP_004045179.1_1173	10	HVO_RS05165	5165	95441	97351	Chromosome	0
lcl|NC_013967.1_cds_WP_004045182.1_1174	10	HVO_RS05170	5170	97756	97950	Chromosome	1
lcl|NC_013967.1_cds_WP_004045323.1_1283	10	HVO_RS05720	5720	190112	191275	Chromosome	0
lcl|NC_013967.1_cds_WP_004044400.1_1583	10	HVO_RS07260	7260	462054	463211	Chromosome	0
lcl|NC_013967.1_cds_WP_004044398.1_1585	10	HVO_RS07270	7270	464283	465227	Chromosome	0
lcl|NC_013967.1_cds_WP_004044397.1_1586	10	HVO_RS07275	7275	465348	466499	Chromosome	1
lcl|NC_013967.1_cds_WP_004044168.1_1805	10	HVO_RS08385	8385	690496	690900	Chromosome	0
lcl|NC_013967.1_cds_WP_004044165.1_1808	10	HVO_RS08400	8400	692660	692932	Chromosome	0
lcl|NC_013967.1_cds_WP_004044100.1_1870	10	HVO_RS08710	8710	754108	755415	Chromosome	0
lcl|NC_013967.1_cds_WP_013035590.1_1979	10	HVO_RS09255	9255	860652	861653	Chromosome	0
lcl|NC_013967.1_cds_WP_004043710.1_2249	10	HVO_RS10620	10620	1123534	1124115	Chromosome	0
lcl|NC_013967.1_cds_WP_004043636.1_2317	10	HVO_RS10965	10965	1184666	1186432	Chromosome	0
lcl|NC_013967.1_cds_WP_004043588.1_2364	10	HVO_RS11205	11205	1228716	1229099	Chromosome	0
lcl|NC_013967.1_cds_WP_004043570.1_2382	10	HVO_RS11295	11295	1245842	1246504	Chromosome	0
lcl|NC_013967.1_cds_WP_004041440.1_2567	10	HVO_RS12200	12200	1430347	1431078	Chromosome	0
lcl|NC_013967.1_cds_WP_004041476.1_2594	10	HVO_RS12335	12335	1459300	1459620	Chromosome	0
lcl|NC_013967.1_cds_WP_004041578.1_2689	10	HVO_RS12815	12815	1545803	1546033	Chromosome	0
lcl|NC_013967.1_cds_WP_004041610.1_2720	10	HVO_RS12975	12975	1589274	1589552	Chromosome	0
lcl|NC_013967.1_cds_WP_004041616.1_2726	10	HVO_RS13010	13010	1596955	1597515	Chromosome	0
lcl|NC_013967.1_cds_WP_004041751.1_2854	10	HVO_RS13670	13670	1725397	1725873	Chromosome	0
lcl|NC_013967.1_cds_WP_004041766.1_2868	10	HVO_RS13750	13750	1739055	1739708	Chromosome	0
lcl|NC_013967.1_cds_WP_004041850.1_2948	10	HVO_RS14155	14155	1818629	1819327	Chromosome	0
lcl|NC_013967.1_cds_WP_004041949.1_3044	10	HVO_RS14620	14620	1912946	1913362	Chromosome	0
lcl|NC_013967.1_cds_WP_004042482.1_3478	10	HVO_RS16795	16795	2373145	2373558	Chromosome	0
lcl|NC_013967.1_cds_WP_004042483.1_3479	10	HVO_RS16800	16800	2373656	2374738	Chromosome	1
lcl|NC_013967.1_cds_WP_004042741.1_3596	10	HVO_RS17395	17395	2479527	2480363	Chromosome	0
lcl|NC_013967.1_cds_WP_004042762.1_3607	10	HVO_RS17450	17450	2490473	2490871	Chromosome	0
lcl|NC_013967.1_cds_WP_004042859.1_3653	10	HVO_RS17680	17680	2534459	2535520	Chromosome	0
lcl|NC_013967.1_cds_WP_004042883.1_3663	10	HVO_RS17730	17730	2545169	2546164	Chromosome	0
lcl|NC_013967.1_cds_WP_004042895.1_3669	10	HVO_RS17760	17760	2551488	2551994	Chromosome	0
lcl|NC_013967.1_cds_WP_004042946.1_3693	10	HVO_RS17880	17880	2573663	2574142	Chromosome	0
lcl|NC_013967.1_cds_WP_004044667.1_3809	10	HVO_RS18480	18480	2688332	2690404	Chromosome	0
lcl|NC_013967.1_cds_WP_004044669.1_3811	10	HVO_RS18490	18490	2691343	2691792	Chromosome	0
lcl|NC_013967.1_cds_WP_013035541.1_3874	10	HVO_RS18810	18810	2752331	2752909	Chromosome	0
lcl|NC_013967.1_cds_WP_004044838.1_3920	10	HVO_RS19070	19070	2806048	2806419	Chromosome	0
lcl|NC_013966.1_cds_WP_081442865.1_478	10	HVO_RS19730	19730	16538	16759	pHV4	0
lcl|NC_013966.1_cds_WP_013035006.1_799	10	HVO_RS19910	19910	359044	359226	pHV4	0
lcl|NC_013967.1_cds_2990	10	HVO_RS20225	20225	1857883	1858141	Chromosome	0
lcl|NC_013967.1_cds_3193	10	HVO_RS20255	20255	2081627	2081925	Chromosome	0
