arCOG_name	locus_tag	E-value	score	arCOG_familiy	Gene_name	Description	HVO
arCOG00004	WP_004043796.1	2.3E-40	134.8	K	-	Transcriptional regulator, PadR family	HVO_1141
arCOG00005	WP_004044685.1	1.3E-41	138.5	K	-	Transcriptional regulator, PadR family	HVO_2869
arCOG00005	WP_004062180.1	4.6E-39	130.3	K	-	Transcriptional regulator, PadR family	HVO_A0416
arCOG00005	WP_004040955.1	1.9E-30	102.6	K	-	Transcriptional regulator, PadR family	HVO_A0598
arCOG00006	WP_004044207.1	3.8E-44	148.2	K	-	Transcriptional regulator, PadR family	HVO_0730
arCOG00009	WP_013035665.1	1.1E-18	64.7	E	PotE	Amino acid transporter	HVO_2295
arCOG00009	WP_004042465.1	3.3E-123	409.1	E	PotE	Amino acid transporter	HVO_2500
arCOG00009	WP_004045291.1	1.9E-120	400	E	PotE	Amino acid transporter	HVO_0176
arCOG00009	WP_004043102.1	3.8E-114	379.3	E	PotE	Amino acid transporter	HVO_A0175
arCOG00009	WP_004044158.1	2.5E-60	202	E	PotE	Amino acid transporter	HVO_0779
arCOG00009	WP_004041087.1	3.8E-69	231	E	PotE	Amino acid transporter	HVO_B0067
arCOG00009	WP_004043207.1	2.4E-68	228.4	E	PotE	Amino acid transporter	HVO_A0292
arCOG00014	WP_004041695.1	9.1E-26	88.6	G	RbsK	Sugar kinase, ribokinase family	HVO_1812
arCOG00014	WP_004042705.1	8.6E-77	256.1	G	RbsK	Sugar kinase, ribokinase family	HVO_2612
arCOG00014	WP_004044382.1	2.6E-56	188.9	G	RbsK	Sugar kinase, ribokinase family	HVO_0549
arCOG00014	WP_004043241.1	2.3E-59	198.9	G	RbsK	Sugar kinase, ribokinase family	HVO_A0328
arCOG00015	WP_004043435.1	7.8E-105	348	G	FruK	Fructose-1-phosphate kinase or kinase (PfkB)	HVO_1500
arCOG00018	WP_004043590.1	2.6E-126	419.9	F	Nnr2	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	HVO_1348
arCOG00019	WP_004042823.1	3.7E-98	325.8	H	ThiM	Hydroxyethylthiazole kinase, sugar kinase family	HVO_2667
arCOG00020	WP_013035260.1	2.9E-71	238.3	H	ThiD	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	HVO_2666
arCOG00021	WP_004044273.1	1.7E-41	139.8	H	ThiN	Thiamine-phosphate synthase and thiamin biosynthesis regulator ThiR	HVO_0662
